,Open,High,Low,Close,Volume,Adj Close
2023-01-03,101.60535430908203,102.54180908203125,100.64381408691406,102.39966583251953,3124909,93.82341766357422
2023-01-04,103.13545227050781,104.75752258300781,102.60033416748047,104.64046478271484,3312561,95.87654113769531
2023-01-05,103.8545150756836,104.155517578125,102.39130401611328,102.80936431884766,3117494,94.19879913330078
2023-01-06,104.23076629638672,106.29598999023438,103.46990203857422,105.95317840576172,2890732,97.07931518554688
2023-01-09,106.18729400634766,108.24414825439453,105.44314575195312,106.01170349121094,3434075,97.1329345703125
2023-01-10,106.24581909179688,107.1822738647461,105.93645477294922,107.13211059570312,1971128,98.15950775146484
2023-01-11,107.8010025024414,108.01839447021484,106.7056884765625,107.95986938476562,2408146,98.91793823242188
2023-01-12,108.3612060546875,108.54515075683594,106.84782409667969,108.15217590332031,2200042,99.0941390991211
2023-01-13,107.37458038330078,108.36956787109375,107.19063568115234,108.28594970703125,2025306,99.21670532226562
2023-01-17,108.49497985839844,108.6120376586914,105.67726135253906,105.85284423828125,4199036,96.98736572265625
2023-01-18,106.06187438964844,106.34615325927734,102.22408294677734,102.63378143310547,5093166,94.03791046142578
2023-01-19,102.0066909790039,102.24916076660156,98.92976379394531,99.02173614501953,5955721,90.72838592529297
2023-01-20,99.1220703125,100.92809295654297,97.62541961669922,100.8779296875,5230706,92.42912292480469
2023-01-23,100.844482421875,103.59532165527344,100.67726135253906,102.52508544921875,4080991,93.9383316040039
2023-01-24,97.0234146118164,100.3344497680664,95.73578643798828,96.15384674072266,12290694,88.10070037841797
2023-01-25,95.73578643798828,97.19063568115234,94.27257537841797,94.42308044433594,7167867,86.514892578125
2023-01-26,94.90802764892578,95.40133666992188,93.44481658935547,94.94147491455078,5532218,86.98986053466797
2023-01-27,95.09197235107422,96.80602264404297,94.86621856689453,96.36287689208984,4920942,88.29222106933594
2023-01-30,95.71070098876953,96.9899673461914,94.11370849609375,94.13043212890625,7059868,86.24674987792969
2023-01-31,94.60702514648438,96.22073364257812,93.96321105957031,96.22073364257812,6065155,88.1619873046875
2023-02-01,95.77759552001953,97.60869598388672,95.02508544921875,96.87290954589844,3708557,88.75953674316406
2023-02-02,97.06521606445312,101.04515075683594,96.58026885986328,100.57691955566406,5880971,92.1533203125
2023-02-03,99.4397964477539,99.69063568115234,97.65050506591797,98.23578643798828,3208150,90.0082778930664
2023-02-06,97.65050506591797,98.0434799194336,96.88963317871094,97.40802764892578,2974811,89.24983215332031
2023-02-07,96.83946228027344,98.00167083740234,95.96154022216797,97.74247741699219,2610509,89.55628967285156
2023-02-08,97.13211059570312,97.56688690185547,96.1622085571289,96.36287689208984,3003993,88.29222106933594
2023-02-09,97.34949493408203,97.65050506591797,94.03009796142578,94.42308044433594,4307872,86.514892578125
2023-02-10,94.67391204833984,95.50167083740234,94.23076629638672,95.21739196777344,2720302,87.24267578125
2023-02-13,95.62709045410156,96.6722412109375,95.15050506591797,96.3879623413086,2688130,88.3152084350586
2023-02-14,95.97826385498047,96.22073364257812,94.4397964477539,95.4933090209961,2944911,87.4954833984375
2023-02-15,95.02508544921875,96.00334167480469,94.6488265991211,95.97826385498047,3022651,87.93982696533203
2023-02-16,94.06354522705078,94.76588439941406,92.60869598388672,93.6454849243164,3223340,86.93846893310547
2023-02-17,93.6120376586914,94.51505279541016,92.54180908203125,94.4732437133789,3381929,87.70694732666016
2023-02-21,93.6454849243164,93.97993469238281,91.28762817382812,91.34615325927734,4651364,84.80382537841797
2023-02-22,91.58026885986328,92.29096984863281,90.72742462158203,91.08695983886719,3175380,84.56319427490234
2023-02-23,91.72240447998047,92.2157211303711,90.30936431884766,91.06187438964844,3520785,84.53990936279297
2023-02-24,90.39297485351562,90.75251007080078,89.26421356201172,90.13378143310547,3424028,83.67828369140625
