Date,Open,High,Low,Close,Volume,Change
2002-10-14,5533,5675,5381,5511,3623863,
2002-10-15,5570,5661,5462,5646,3218250,0.024496461622210086
2002-10-16,5705,5705,5611,5670,2867259,0.004250797024442088
2002-10-17,5661,5805,5584,5748,2941262,0.013756613756613856
2002-10-18,5890,6030,5853,5994,1857889,0.04279749478079342
2002-10-21,5961,5961,5820,5832,3005823,-0.027027027027026973
2002-10-22,5925,5925,5640,5703,3675844,-0.022119341563786032
2002-10-23,5691,5862,5610,5873,3520669,0.029808872523233276
2002-10-24,5890,5939,5759,5851,3052252,-0.0037459560701514905
2002-10-25,5768,5932,5768,5873,3310945,0.0037600410186293676
2002-10-28,5960,6095,5931,6084,4498955,0.03592712412736243
2002-10-29,6030,6115,6004,6045,5100548,-0.0064102564102563875
2002-10-30,6023,6023,5840,5903,6087164,-0.023490488006617016
2002-10-31,5940,6005,5840,5873,4259791,-0.005082161612739333
2002-11-01,5864,5876,5770,5795,4535635,-0.01328111697599188
2002-11-04,5853,6037,5853,6029,3190705,0.04037963761863672
2002-11-05,6045,6045,5910,5959,3603963,-0.011610549013103322
2002-11-06,6004,6144,6004,6137,3239720,0.02987078368853835
2002-11-07,6102,6196,6045,6137,2335710,0.0
2002-11-08,6030,6037,5945,6045,3374867,-0.014991037966433085
2002-11-11,5996,6004,5847,5895,2606231,-0.02481389578163773
2002-11-12,5768,5891,5747,5889,2562590,-0.0010178117048346147
2002-11-13,5903,5903,5768,5851,2757753,-0.006452708439463439
2002-11-14,5824,5910,5812,5859,4132534,0.001367287643137871
2002-11-15,5959,6045,5930,6045,4346593,0.031746031746031855
2002-11-18,6037,6095,5951,5983,4051062,-0.01025641025641022
2002-11-19,5938,6045,5938,6029,2749404,0.007688450610061848
2002-11-20,6016,6161,5982,6168,2774975,0.0230552330403051
2002-11-21,6246,6324,6225,6246,2831886,0.012645914396887115
2002-11-22,6350,6372,6238,6265,2880425,0.003041946845981469
2002-11-25,6294,6372,6272,6378,2270202,0.01803671189146039
2002-11-26,6390,6390,6265,6337,2797665,-0.006428347444339955
2002-11-27,6271,6380,6256,6392,2700330,0.008679185734574713
2002-11-28,6514,6542,6422,6457,3216734,0.010168961201501903
2002-11-29,6439,6529,6417,6546,5023176,0.013783490785194363
2002-12-02,6543,6587,6472,6588,2657592,0.006416131989000817
2002-12-03,6572,6649,6548,6650,2894680,0.00941105039465695
2002-12-04,6541,6541,6430,6452,2899671,-0.029774436090225564
2002-12-05,6422,6507,6390,6516,3037942,0.009919404835709855
2002-12-06,6462,6504,6400,6478,3023408,-0.005831798649478248
