Open,High,Low,Close,Volume,Adj Close
135.19000244140625,136.9499969482422,133.02999877929688,134.77999877929688,8196400,134.0313720703125
141.22000122070312,141.85000610351562,137.6199951171875,139.58999633789062,14322600,138.81466674804688
137.63999938964844,138.58999633789062,134.24000549316406,136.33999633789062,8493500,135.5827178955078
137.5800018310547,141.64999389648438,135.5500030517578,140.50999450683594,9145700,139.7295379638672
142.58999633789062,149.1999969482422,142.58999633789062,147.10000610351562,13679700,146.282958984375
145.80999755859375,149.27999877929688,145.60000610351562,147.44000244140625,6527700,146.62106323242188
145.27999877929688,147.0399932861328,143.55999755859375,144.89999389648438,13595000,144.09515380859375
147.83999633789062,149.82000732421875,143.94000244140625,149.60000610351562,11678000,148.76905822753906
146.1999969482422,149.9600067138672,146.08999633789062,149.50999450683594,8378100,148.6795654296875
149.60000610351562,150.49000549316406,146.10000610351562,148.47000122070312,9407600,147.64535522460938
148.86000061035156,149.5399932861328,145.2899932861328,145.4499969482422,7812600,144.64208984375
143.52000427246094,146.67999267578125,143.16000366210938,146.41000366210938,7070100,145.59677124023438
144.3000030517578,151.52999877929688,144.3000030517578,151.25,10127100,150.40989685058594
157.35000610351562,157.8699951171875,153.22999572753906,155.8699951171875,19922900,155.0042266845703
155.89999389648438,160.2100067138672,154.5,154.86000061035156,6390200,153.99984741210938
151.2100067138672,156.39999389648438,149.82000732421875,156.1699981689453,9390500,155.30255126953125
158.19000244140625,165.1699981689453,158.10000610351562,165.08999633789062,13354600,164.1730194091797
165.0500030517578,167.24000549316406,163.60000610351562,164.52000427246094,9872300,163.606201171875
164.07000732421875,166.44000244140625,163.39999389648438,164.75,8169800,163.83493041992188
164.27999877929688,168.00999450683594,164.27999877929688,167.97000122070312,6421300,167.0370330810547
167.72999572753906,173.0800018310547,167.0,171.82000732421875,8853900,170.86566162109375
175.7100067138672,178.83999633789062,172.89999389648438,174.63999938964844,10667100,173.6699676513672
170.02000427246094,175.0800018310547,169.86000061035156,171.0399932861328,6481700,170.0899658203125
168.0,171.1699981689453,167.35000610351562,169.0500030517578,4310600,168.11102294921875
167.57000732421875,171.72999572753906,166.61000061035156,171.27999877929688,6179200,170.32864379882812
170.0,172.4499969482422,169.22999572753906,169.6300048828125,7694500,168.68780517578125
173.3300018310547,175.3800048828125,172.00999450683594,173.66000366210938,11512300,172.6954345703125
167.66000366210938,169.74000549316406,165.3300018310547,167.02999877929688,11273700,166.10223388671875
168.27999877929688,171.16000366210938,166.9499969482422,171.0800018310547,8820300,170.1297607421875
168.22000122070312,172.7899932861328,167.85000610351562,169.9600067138672,8393100,169.01596069335938
168.85000610351562,171.61000061035156,168.24000549316406,171.10000610351562,4997000,170.14964294433594
168.99000549316406,170.3699951171875,167.9600067138672,168.11000061035156,7483500,167.17625427246094
165.02999877929688,167.11000061035156,162.74000549316406,165.1699981689453,8084500,164.25257873535156
163.74000549316406,164.50999450683594,161.4499969482422,161.6199951171875,5210800,160.7222900390625
163.11000061035156,165.0,162.11000061035156,163.36000061035156,4343700,162.45263671875
165.2899932861328,165.47000122070312,161.57000732421875,164.1199951171875,4679400,163.20840454101562
160.58999633789062,162.38999938964844,159.66000366210938,162.1999969482422,6569900,161.299072265625
163.83999633789062,164.77000427246094,162.22000122070312,163.13999938964844,6891200,162.23385620117188
162.52999877929688,164.4499969482422,161.52999877929688,163.61000061035156,6912600,162.7012481689453
162.99000549316406,167.97999572753906,162.97999572753906,167.35000610351562,15841200,166.42047119140625
193.1199951171875,193.91000366210938,185.1999969482422,186.58999633789062,37712500,185.5535888671875
188.07000732421875,189.77000427246094,184.2899932861328,186.42999267578125,12087200,185.3944854736328
185.07000732421875,189.0,183.6300048828125,183.8000030517578,10770300,182.7790985107422
184.4600067138672,186.16000366210938,183.02999877929688,183.32000732421875,9024300,182.30178833007812
183.3000030517578,184.89999389648438,181.8000030517578,182.9499969482422,6749100,181.93382263183594
183.10000610351562,183.83999633789062,178.5399932861328,178.72000122070312,7102400,177.72731018066406
178.5,179.36000061035156,171.7100067138672,173.17999267578125,14109000,172.21807861328125
171.0,177.10000610351562,170.0,175.50999450683594,9154800,174.53514099121094
180.0,185.30999755859375,179.11000061035156,182.88999938964844,10138100,181.87416076660156
179.16000366210938,183.86000061035156,178.2100067138672,182.91000366210938,7716900,181.89404296875
183.3000030517578,187.64999389648438,182.97999572753906,187.3000030517578,8369500,186.25965881347656
186.0399932861328,187.66000366210938,184.17999267578125,184.85000610351562,10493300,183.82327270507812
184.2100067138672,185.52000427246094,182.64999389648438,185.25,5513200,184.22105407714844
185.8699951171875,189.27999877929688,184.88999938964844,188.67999267578125,6982000,187.63198852539062
190.0,191.44000244140625,186.41000366210938,186.50999450683594,6575600,185.47402954101562
187.39999389648438,190.55999755859375,185.5800018310547,187.44000244140625,8685000,186.39889526367188
186.5,190.32000732421875,186.08999633789062,190.05999755859375,6102700,189.00433349609375
188.9199981689453,192.11000061035156,188.91000366210938,191.25999450683594,7776500,190.19766235351562
191.17999267578125,192.8300018310547,191.17999267578125,192.3000030517578,4899000,191.23190307617188
193.13999938964844,197.42999267578125,192.8800048828125,196.63999938964844,8085200,195.54779052734375
197.77000427246094,198.1699981689453,195.49000549316406,196.60000610351562,6932500,195.5080108642578
197.49000549316406,200.0,196.99000549316406,199.77999877929688,6634300,198.67034912109375
198.22000122070312,198.92999267578125,195.52999877929688,196.49000549316406,5340800,195.39862060546875
198.14999389648438,198.6999969482422,196.6199951171875,197.1999969482422,4659100,196.10467529296875
