Open,High,Low,Close,Volume,Change
92000,92300,88800,88900,1397056,-0.029475982532751077
89800,89900,88100,89100,1384540,0.0022497187851517886
89400,91100,88800,90500,1123770,0.015712682379348974
91400,91800,89700,89700,1472306,-0.008839779005524906
89400,89700,88000,88300,923693,-0.015607580824972156
88700,91300,88400,90900,956800,0.029445073612684114
90200,91200,89400,89800,836055,-0.012101210121012063
89000,89500,87500,87900,961515,-0.021158129175946505
87500,88500,86900,87300,840897,-0.0068259385665528916
88100,88700,87000,87600,831282,0.0034364261168384758
87700,88300,85900,87200,1060021,-0.004566210045662156
87100,88100,86900,87900,917374,0.008027522935779796
87500,88200,86800,87900,882524,0.0
87100,93000,86100,93000,3397759,0.058020477815699634
94600,95700,92700,94400,2383070,0.01505376344086029
94700,100000,94400,99900,3200604,0.05826271186440679
101000,103600,97800,98000,3463949,-0.019019019019019034
99400,103000,98500,102900,3793928,0.050000000000000044
102800,106800,101600,106300,3751067,0.033041788143828965
110000,119900,108700,119500,8478816,0.12417685794920041
119600,121300,113700,118300,6726216,-0.010041841004184149
115600,118000,110900,111600,5169164,-0.05663567202028741
112000,115800,110100,114700,4555156,0.02777777777777768
112700,114700,111300,113200,2788161,-0.013077593722754965
116300,120000,115100,117200,3370853,0.035335689045936425
115600,118800,114700,117600,1530264,0.0034129692832765013
119300,119700,113100,113500,2518069,-0.03486394557823125
113500,115900,111500,115800,2159137,0.02026431718061672
115600,119300,115300,117600,1750923,0.015544041450777257
115600,118700,113000,116100,1952950,-0.012755102040816313
116200,118600,115000,116800,1845668,0.00602928509905265
116800,121900,115300,119300,3154400,0.021404109589041154
119400,120700,118000,118400,2253030,-0.007544006705783701
116000,116500,112300,114600,2748769,-0.03209459459459463
111800,115800,111800,112600,2108829,-0.017452006980802848
112600,117800,112000,117700,1833765,0.04529307282415629
118300,126900,117500,124500,5862121,0.05777400169923541
124500,126900,124000,125600,3032627,0.008835341365461824
124000,124900,122300,123000,2940381,-0.02070063694267521
121700,127900,121700,127000,2543361,0.03252032520325199
127000,129200,125500,126100,1849757,-0.007086614173228312
126900,130000,126200,128400,2324865,0.018239492466296525
128900,131700,126100,126200,1885521,-0.01713395638629278
125100,127600,125100,126100,1085368,-0.0007923930269413404
125900,127300,124500,125900,1396568,-0.0015860428231562196
125900,129600,125500,128500,1913544,0.02065131056393965
128100,130700,125000,125000,2180445,-0.027237354085603127
126200,128200,124700,128000,1548673,0.02400000000000002
123200,123600,118200,118900,3390443,-0.07109374999999996
119500,120300,115100,115700,2379123,-0.02691337258200166
117300,118000,115500,115700,2960845,0.0
116200,116800,112100,112900,2811721,-0.02420051858254102
113100,113500,111000,111500,1550861,-0.01240035429583708
111200,115400,111200,114400,2021266,0.026008968609865457
114400,115000,112900,113600,1270063,-0.006993006993006978
114200,114300,111800,112000,1350186,-0.014084507042253502
112200,113400,110000,110200,1307187,-0.016071428571428625
110900,111500,108200,108700,1112885,-0.01361161524500909
108200,108700,104000,104700,2520832,-0.03679852805887762
104300,105400,101800,101800,1671419,-0.02769818529130852
103600,106900,102700,106700,2078100,0.048133595284872266
105300,108500,104300,105000,1944665,-0.015932521087160256
105000,111000,105000,108500,2070252,0.03333333333333344
111100,112500,107800,108000,1652638,-0.004608294930875556
104600,111800,104400,111700,2217580,0.03425925925925921
111500,111700,108000,109800,1226958,-0.017009847806624845
109200,115000,107200,114600,2446762,0.04371584699453557
113500,115200,112200,114700,1988405,0.0008726003490402423
114800,114900,111300,113100,1576611,-0.013949433304272008
114000,114600,110700,112200,1665994,-0.007957559681697646
111000,113700,107800,110400,2114673,-0.016042780748663055
111600,115500,111600,115100,1916502,0.042572463768115965
116000,118300,114500,115900,1392773,0.0069504778453519656
114800,116800,114200,116200,1178637,0.0025884383088869978
114800,118000,114200,116600,1708852,0.0034423407917383297
116600,121500,114500,118200,2705868,0.013722126929674117
119500,121300,117600,118300,1820652,0.0008460236886633776
118100,119500,117200,118000,1264927,-0.002535925612848655
118300,119600,117500,119600,1246995,0.013559322033898313
120300,120800,113600,113900,1779155,-0.047658862876254204
114000,116600,114000,115700,1204913,0.015803336259877065
114700,117200,114700,116000,792482,0.0025929127052721768
116400,116400,111200,111700,1762344,-0.03706896551724137
113500,114500,112000,114100,1422408,0.0214861235452104
113900,115700,113300,114300,935835,0.0017528483786153348
114500,115200,112500,113900,788713,-0.0034995625546806464
114900,115500,113400,114700,963262,0.0070237050043897575
115100,115900,112500,112700,1087425,-0.017436791630340065
113400,116500,113000,114900,850630,0.01952085181898844
114900,115000,113800,114400,695579,-0.00435161009573537
113600,119700,113400,118900,2260904,0.03933566433566438
119000,120900,116200,120500,1760819,0.01345668629100083
119300,122100,118800,120000,1463021,-0.004149377593360981
120500,124400,118600,122500,1644197,0.02083333333333326
123000,124800,122000,122400,1096369,-0.0008163265306122547
121200,123000,119200,122000,1277990,-0.0032679738562091387
121100,122200,117700,117700,1096042,-0.03524590163934427
119200,120800,117700,117700,2011874,0.0
120100,122800,119800,120700,906152,0.02548853016142738
120700,121700,118100,119000,820199,-0.014084507042253502
119000,120200,118300,119500,1068743,0.004201680672268893
120500,122300,119500,121100,976721,0.013389121338912124
121000,123000,120000,121400,970865,0.002477291494632494
122700,123200,121300,122000,1214447,0.0049423393739702615
124000,124000,121400,122500,970708,0.004098360655737654
123100,125400,121600,121700,2186257,-0.0065306122448979265
121400,124600,120800,122700,1278973,0.008216926869350827
124000,129400,123800,129100,2654199,0.05215973920130401
129900,133900,129100,131000,2632809,0.014717273431448463
132200,135000,130800,132300,1606458,0.00992366412213741
131400,131600,128700,130600,1110575,-0.012849584278155746
130400,130500,126500,127900,1680099,-0.020673813169984734
127800,128900,126100,128300,712382,0.0031274433150898506
129200,130600,127900,129000,1100760,0.005455962587685104
127800,130900,127600,130800,1219468,0.013953488372093092
129100,132300,128200,131500,901065,0.005351681957186605
132300,132300,128600,129300,1026360,-0.016730038022813698
128100,129900,127700,128600,659327,-0.005413766434648082
128000,128300,123500,123600,1369592,-0.038880248833592534
124800,125500,122500,123700,1035953,0.0008090614886731018
124100,126600,124100,125600,793881,0.015359741309620034
126700,128200,125300,126300,805600,0.005573248407643394
126200,127500,124200,124200,999050,-0.016627078384798155
125000,125400,120600,122500,1662846,-0.013687600644122333
121600,122900,120800,122000,1118813,-0.004081632653061273
123000,123200,121300,122300,998099,0.0024590163934425924
122800,123500,120000,121300,863955,-0.00817661488143906
121300,121600,118700,120000,669497,-0.010717230008243983
120900,122900,120600,122900,891422,0.02416666666666667
123000,123000,120100,121000,944338,-0.015459723352318933
120000,120700,118500,119900,864546,-0.009090909090909038
118300,118400,114700,116300,1498610,-0.030025020850708906
116700,117500,113800,115900,968117,-0.0034393809114359186
117200,120600,117200,120500,1194748,0.039689387402933596
118800,119400,117900,118400,689203,-0.01742738589211623
118300,118900,114500,115000,1138700,-0.028716216216216228
118500,118500,110000,112100,1582067,-0.025217391304347858
112100,116100,110900,113700,1192545,0.014272970561998166
112800,115300,111600,111600,765612,-0.01846965699208447
110500,113000,110500,112100,882651,0.0044802867383513245
113300,114500,112100,112100,615829,0.0
109000,110000,106700,107100,1332881,-0.044603033006244464
103900,104400,95000,96300,2493835,-0.10084033613445376
100900,105200,97600,102700,1867054,0.0664589823468329
100400,103100,99900,101600,1475882,-0.01071080817916259
100100,102100,99300,101600,1074481,0.0
103500,104900,101500,101900,1080152,0.0029527559055118058
102300,103000,101300,102100,639297,0.001962708537782243
102200,103200,101100,102800,727338,0.006856023506366382
103800,103900,101700,102300,713158,-0.004863813229571967
103700,107000,103200,105900,1467142,0.035190615835777095
106300,106600,102600,103200,806135,-0.025495750708215303
104100,104900,102600,103400,895891,0.0019379844961240345
103400,103900,102300,103000,566956,-0.003868471953578312
103100,103500,102000,102400,458855,-0.005825242718446644
102000,104300,101900,104000,680599,0.015625
104400,105300,102500,102800,538340,-0.011538461538461497
103100,103200,100300,101800,657152,-0.009727626459143934
101800,105300,101600,104600,827919,0.027504911591355707
105500,107900,103700,106600,1623481,0.019120458891013437
106600,110700,106100,106100,3386834,-0.004690431519699834
106700,107200,104500,106100,1014420,0.0
105700,106600,101800,102200,1021486,-0.03675777568331762
99100,101300,98600,100200,1394527,-0.019569471624266144
100700,103100,99700,100700,1103725,0.004990019960079861
100300,101600,98500,100000,1130536,-0.006951340615690138
98600,101400,98300,100800,665413,0.008000000000000007
100800,101200,99700,100200,709669,-0.005952380952380931
100500,100500,95800,96200,1788449,-0.03992015968063867
97800,100200,97600,99100,1965672,0.03014553014553023
100300,102000,99500,100500,1051359,0.01412714429868811
101500,104500,101000,103500,1700541,0.029850746268656803
103100,106300,102600,105600,1898045,0.020289855072463725
106300,106300,102800,103200,758934,-0.022727272727272707
103600,104500,102000,103800,1004487,0.005813953488372103
104800,105300,102600,102800,873655,-0.009633911368015391
101800,104900,101700,104900,954693,0.020428015564202262
105000,106300,104000,104800,1180495,-0.0009532888465204614
105700,105800,99900,99900,1408649,-0.0467557251908397
98200,100300,98100,98700,947817,-0.012012012012011963
99400,100000,97800,98000,953289,-0.007092198581560294
99300,100900,98600,100400,747649,0.02448979591836742
99700,100900,99500,99600,953986,-0.007968127490039834
101900,102900,100600,100800,1347031,0.012048192771084265
101300,102200,100700,101100,586806,0.0029761904761904656
101400,102500,100500,100600,512895,-0.004945598417408492
100800,100800,99200,99700,742330,-0.008946322067594381
98800,99400,97500,97800,1442581,-0.01905717151454367
98100,98400,93700,95200,2337274,-0.026584867075664653
94000,96700,94000,95100,954041,-0.0010504201680672232
95300,96400,94400,95000,887808,-0.001051524710830698
93600,94100,91800,92500,2094323,-0.02631578947368418
92000,93800,91100,93000,2096814,0.00540540540540535
90000,92200,90000,90900,2432361,-0.022580645161290325
90100,93500,89900,92700,2070730,0.01980198019801982
93700,96800,93500,95500,1990596,0.030204962243797207
95000,95800,93000,93700,1032980,-0.01884816753926699
93000,94400,92100,94100,1288804,0.004268943436499528
93500,94500,91900,91900,1497645,-0.023379383634431483
91000,95200,90600,94300,1273159,0.02611534276387384
95000,97500,94400,97400,1455797,0.0328738069989396
96800,97200,96100,97000,853795,-0.004106776180698102
96400,96800,93800,95000,1201388,-0.020618556701030966
94000,95100,92600,94000,1538830,-0.010526315789473717
94200,95300,92500,93000,954617,-0.010638297872340385
92100,95200,92100,94600,952667,0.017204301075268713
94700,95100,91900,91900,1029314,-0.02854122621564481
91500,91800,89600,90800,930142,-0.01196953210010876
91600,93900,90400,92500,1308730,0.018722466960352513
90500,92400,89500,91600,1000774,-0.009729729729729741
91100,96800,91100,96700,1258964,0.05567685589519655
95800,97200,95000,95300,791662,-0.014477766287487093
95300,99200,95000,98100,1315123,0.029380902413431276
98100,98900,96800,97600,877875,-0.0050968399592252744
98500,98800,97100,97800,625998,0.002049180327868827
97600,98300,96300,97200,1490846,-0.006134969325153339
96500,97500,95700,97300,824826,0.0010288065843622185
95600,97200,94000,94300,1316143,-0.03083247687564239
94400,95800,93900,95000,667018,0.007423117709437932
93200,94500,92100,92900,1137504,-0.02210526315789474
93900,95800,93500,94200,856300,0.013993541442411273
95900,98000,95000,98000,1269834,0.04033970276008492
96700,99700,96300,98100,1718985,0.0010204081632652073
97200,98400,93800,94000,1047065,-0.041794087665647295
94100,96200,93200,94800,974415,0.008510638297872353
