Open,High,Low,Close,Volume,Change
30400,30400,25650,26750,2105539,-0.12006578947368418
27100,29400,25700,28800,1761350,0.07663551401869162
28400,32200,27650,31800,1837877,0.10416666666666674
31150,31650,29800,30950,983480,-0.026729559748427723
30750,31350,29750,31050,453559,0.003231017770597644
31250,32100,29050,30500,717623,-0.017713365539452464
30500,31100,27250,28350,1221630,-0.07049180327868854
27950,28150,26700,27300,636021,-0.03703703703703709
27250,28650,26100,27200,767036,-0.00366300366300365
27200,27600,25700,26300,646269,-0.03308823529411764
26550,27650,25950,27200,520441,0.034220532319391594
27200,28300,26300,27500,430584,0.011029411764705843
27500,28000,26200,26500,297656,-0.036363636363636376
26500,26550,25100,25100,431376,-0.05283018867924527
24950,25000,23750,24000,475082,-0.043824701195219085
23850,24750,23350,23750,340380,-0.01041666666666663
23850,24200,23000,23400,280457,-0.01473684210526316
23200,23600,22300,22450,289162,-0.040598290598290565
22400,22650,21250,21650,399639,-0.03563474387527843
21750,22850,21300,21500,387916,-0.006928406466512715
22550,23450,21200,21450,681795,-0.0023255813953488857
21250,21400,20500,20650,364645,-0.037296037296037254
20750,20950,19990,20700,370805,0.002421307506053294
20700,22300,20550,21400,606958,0.033816425120772875
21400,21450,19990,20950,563672,-0.0210280373831776
20550,20900,19900,20650,405917,-0.014319809069212375
20900,22700,20600,21900,622197,0.060532687651331685
22200,22200,21150,21550,267048,-0.01598173515981738
21650,22750,21350,22300,470264,0.03480278422273786
23100,24800,22750,24500,2025863,0.09865470852017943
24500,25350,23650,24850,1069785,0.014285714285714235
24550,26000,23850,25000,920382,0.006036217303822866
25000,26500,24000,25950,787349,0.038000000000000034
25900,25900,24050,24800,542914,-0.044315992292870865
24150,25000,22950,23400,465066,-0.056451612903225756
23550,24300,23000,23800,370133,0.017094017094017033
24450,24750,22450,23500,455491,-0.012605042016806678
23200,23300,21000,21400,872374,-0.08936170212765959
21150,21400,20500,20650,432201,-0.03504672897196259
20400,20650,19850,20200,428468,-0.021791767554479424
20200,20550,19600,19920,352453,-0.013861386138613874
20050,20200,18940,19000,634395,-0.04618473895582331
19270,20500,19010,20100,359141,0.05789473684210522
20150,20600,19980,19980,231372,-0.005970149253731294
19950,20600,19710,20500,168447,0.026026026026026106
20600,21550,20200,20600,297235,0.004878048780487809
20850,21500,19700,19700,315508,-0.043689320388349495
19720,21300,19680,20800,340675,0.055837563451776706
20800,21200,17810,17930,1053963,-0.13798076923076918
18140,18430,17850,18360,289397,0.02398215281650873
18360,18500,18010,18020,181908,-0.01851851851851849
18020,18080,17190,17490,306456,-0.02941176470588236
17490,17800,17200,17570,175902,0.004574042309891446
17520,18590,17340,18330,265705,0.043255549231644874
18260,18550,18040,18200,125635,-0.007092198581560294
18180,18180,17830,17910,117361,-0.01593406593406599
17860,18010,17380,17490,155743,-0.02345058626465657
17600,18740,17590,18610,263309,0.06403659233847914
18580,18590,17730,17830,167644,-0.041912950026867235
17830,18140,17200,17420,123015,-0.0229949523275379
17740,17750,17020,17220,124078,-0.01148105625717566
17060,17200,16620,16890,170414,-0.019163763066202044
16990,17100,16400,16580,148236,-0.018354055654233314
16500,16750,16240,16400,161282,-0.010856453558504175
16110,16300,15950,16230,96107,-0.010365853658536595
16280,16400,16000,16070,103475,-0.009858287122612497
15840,16070,15560,15980,131740,-0.005600497822028649
15980,16250,15510,15560,199273,-0.026282853566958697
15930,16980,15830,15840,446436,0.01799485861182526
15650,16300,15630,15850,154167,0.0006313131313131493
15700,15800,14900,15190,180043,-0.04164037854889591
15260,15800,15160,15370,94086,0.011849901250822859
15380,15650,15200,15260,88997,-0.0071567989590111125
15490,15630,15300,15600,105358,0.022280471821756187
15710,15800,15350,15580,120681,-0.0012820512820512775
16170,17780,14660,15400,1478143,-0.011553273427471145
15400,15690,15060,15150,252420,-0.016233766233766267
15020,15180,14750,15080,203843,-0.0046204620462045876
15440,16250,15260,15590,490032,0.03381962864721477
15620,15650,15130,15240,240408,-0.022450288646568284
15300,15900,15130,15800,198213,0.036745406824147064
15800,16460,15610,16200,283941,0.025316455696202445
16890,19900,16700,19390,5188581,0.19691358024691352
19390,19610,18290,18460,1109798,-0.04796286745745226
18460,18570,17690,18200,638607,-0.014084507042253502
18200,20200,18020,19300,2848328,0.06043956043956045
19690,19870,18850,19210,832321,-0.004663212435233155
19120,20600,18890,20250,1490636,0.05413846954711099
20100,21550,19670,20600,1396200,0.01728395061728394
20850,22500,20400,22350,1496372,0.08495145631067968
22750,23650,21800,22200,1508023,-0.006711409395973145
21800,23150,21600,22400,703773,0.009009009009008917
22200,23500,22000,22750,731572,0.015625
22750,24150,22550,23000,689278,0.01098901098901095
23200,23800,22650,22950,465114,-0.0021739130434782483
23400,24450,23300,24400,1012393,0.06318082788671031
24400,24400,22400,22950,758607,-0.05942622950819676
22600,23700,22600,23000,366120,0.002178649237472685
23000,25400,23000,24700,1138554,0.07391304347826089
25000,26600,24350,25200,1297653,0.020242914979757165
25500,26700,24000,24150,897983,-0.04166666666666663
25400,29350,25350,28250,5947353,0.1697722567287785
28650,28900,26800,26850,1223773,-0.04955752212389386
27150,31600,26750,31100,3475397,0.15828677839851024
31200,37250,31000,35850,4659084,0.152733118971061
35650,38450,34550,36000,2414222,0.004184100418409997
36000,36100,32800,33400,1704729,-0.07222222222222219
33200,33300,29300,29950,2479228,-0.1032934131736527
30200,30250,28400,28750,1650678,-0.04006677796327207
30350,37350,30150,37350,8614079,0.2991304347826087
39200,42850,38450,41750,10863803,0.11780455153949121
41750,42150,38900,40900,2879800,-0.02035928143712573
39650,40550,37900,38650,1640706,-0.055012224938875254
38000,41600,37050,40550,3637133,0.04915912031047864
40100,42950,39500,41000,2738238,0.011097410604192337
40300,42200,38450,38800,1505411,-0.0536585365853659
38350,41700,38300,40400,1892555,0.04123711340206193
41250,41700,38950,38950,1258654,-0.03589108910891092
38500,39650,35900,36650,1561208,-0.05905006418485237
36850,37600,35600,36250,767274,-0.010914051841746208
35500,35800,32200,33650,2079835,-0.07172413793103449
33650,34900,33050,33800,889933,0.004457652303120341
33800,35150,33200,33800,698940,0.0
33400,34300,31950,32350,991199,-0.04289940828402372
32350,33300,31450,33200,916892,0.026275115919629055
33600,35450,33250,33400,1727897,0.006024096385542244
33350,35700,32550,32550,1478944,-0.025449101796407136
32200,32800,31250,31800,498342,-0.02304147465437789
31800,32050,30200,30850,578092,-0.029874213836478036
30900,31350,28900,29400,968293,-0.04700162074554293
28900,29050,27700,28500,599535,-0.030612244897959218
28400,28500,27450,27750,424545,-0.02631578947368418
27900,28600,27450,28000,385007,0.009009009009008917
29950,32000,28650,31750,3752159,0.1339285714285714
32300,34550,31200,33950,2308341,0.06929133858267722
33550,35550,32350,33500,2107302,-0.013254786450662692
33450,34750,32700,33200,876483,-0.008955223880596996
33800,36800,33650,36350,1779330,0.09487951807228923
36350,36350,34200,34850,773485,-0.04126547455295737
34200,34400,32550,32950,735438,-0.05451936872309904
33450,34200,32650,33750,486657,0.02427921092564489
32300,32500,30200,31000,921167,-0.08148148148148149
29300,29550,24800,26600,1074278,-0.14193548387096777
27800,30800,27800,30300,969498,0.13909774436090228
31350,32650,30200,31850,1045973,0.05115511551155105
33400,35500,32850,33450,2409132,0.050235478806907485
34100,34700,33200,34100,704282,0.01943198804185342
35250,37350,34900,35350,1397998,0.03665689149560114
34900,35700,32550,33600,721228,-0.04950495049504955
34200,34800,33150,33750,521449,0.0044642857142858094
34000,34650,33100,34100,497512,0.010370370370370363
33600,36350,33150,36100,1033037,0.058651026392961825
36500,37550,35600,35800,768846,-0.008310249307479256
35500,37750,35100,35100,968359,-0.019553072625698276
35700,37500,35350,36150,1042883,0.029914529914529808
35500,37200,35500,36350,562154,0.0055325034578146415
36600,37150,34300,34900,676542,-0.0398899587345255
34950,38400,34600,38300,1438806,0.09742120343839544
38100,38100,36850,37200,710681,-0.02872062663185382
36950,37550,34200,35250,898386,-0.05241935483870963
35500,36300,34400,34750,481691,-0.014184397163120588
35050,35400,31550,31700,851594,-0.0877697841726619
31500,32600,30750,31100,405439,-0.018927444794952675
29500,30500,29500,30300,516438,-0.025723472668810254
30250,30950,28250,28450,634847,-0.06105610561056107
28450,28800,27200,28000,374472,-0.01581722319859402
27550,29650,26900,29350,543077,0.048214285714285765
29650,29900,28450,28600,247024,-0.02555366269165249
28500,29250,27900,27900,195530,-0.02447552447552448
28400,31400,28400,31200,726121,0.11827956989247301
31200,31350,29500,30100,280796,-0.03525641025641024
30150,31100,29500,30200,307626,0.0033222591362125353
30300,31100,28250,28450,701572,-0.05794701986754969
28650,30100,28600,29850,491879,0.04920913884007039
29900,30200,29000,30100,271942,0.008375209380234505
30600,31550,29050,29050,594550,-0.03488372093023251
29400,30800,28650,30450,568593,0.04819277108433728
30200,30650,29400,30050,300909,-0.013136288998357948
30250,31200,29800,30350,297508,0.009983361064891838
29850,31850,29550,30850,603563,0.016474464579901094
30950,31200,30000,30200,307024,-0.021069692058346856
30500,31700,29750,31300,384626,0.036423841059602724
30900,32100,30050,30450,323624,-0.027156549520766737
30800,31650,30400,31100,291744,0.021346469622331776
31300,31400,30750,31300,176966,0.006430868167202508
31300,31350,29100,29500,482904,-0.057507987220447254
29600,29700,27300,27850,869707,-0.055932203389830515
27550,28350,27250,27600,214025,-0.008976660682226245
27450,27600,24250,25200,1451748,-0.08695652173913049
25050,25750,25000,25350,324284,0.005952380952380931
24950,25950,24550,25700,316596,0.013806706114398493
25550,25600,24700,24950,272969,-0.029182879377431914
25200,25350,24400,25000,231299,0.002004008016031955
24600,25800,22850,24900,284197,-0.0040000000000000036
24850,25200,23950,24700,304591,-0.008032128514056214
24700,25500,24500,24650,180216,-0.002024291497975672
24650,24800,24150,24700,147667,0.0020283975659229903
25350,26200,24500,24650,373011,-0.002024291497975672
24350,24550,23850,24050,149681,-0.024340770791075106
23750,24350,23500,23700,171435,-0.014553014553014498
23650,24950,23600,24800,187081,0.04641350210970474
24850,24850,24200,24400,94055,-0.016129032258064502
24500,24950,23050,23700,197638,-0.02868852459016391
23950,24100,23300,23900,226930,0.00843881856540074
27550,29300,26750,28050,3181056,0.17364016736401666
28600,29450,27950,28200,895855,0.005347593582887722
28550,30150,27650,28850,1151238,0.023049645390070816
29450,29500,27300,27350,448832,-0.051993067590987874
27400,30800,27350,30150,1255848,0.10237659963436929
29700,30450,29300,30200,496644,0.0016583747927032544
29900,30650,28900,29100,405810,-0.03642384105960261
28800,30100,28700,29300,335887,0.0068728522336769515
29700,32650,29550,30000,1525668,0.023890784982935065
29700,30750,29000,29450,396515,-0.018333333333333313
29450,31200,29350,30450,577831,0.03395585738539908
30950,32700,30200,31150,923522,0.02298850574712641
31350,32350,30650,31600,350391,0.014446227929374
31600,36000,31200,34650,2275494,0.09651898734177222
34250,36950,33400,34500,1460590,-0.0043290043290042934
34650,35750,33150,33150,815373,-0.03913043478260869
33550,34500,31750,32500,651511,-0.019607843137254943
32550,34600,32500,33750,637668,0.03846153846153855
32600,33600,32300,33350,560740,-0.011851851851851891
33800,35650,33650,34650,966792,0.038980509745127456
34350,35550,32650,34850,876212,0.005772005772005873
33950,34600,32700,33050,601955,-0.05164992826398851
33750,35950,33650,35950,904225,0.08774583963691374
35800,36200,34200,34550,717311,-0.03894297635605004
34700,37850,34700,36600,2587585,0.05933429811866864
36550,37750,35600,37500,993958,0.024590163934426146
38050,40100,37700,39200,1153573,0.045333333333333226
39400,41150,38750,41050,1073915,0.047193877551020336
41050,41050,39050,40100,691286,-0.023142509135200995
38100,39000,36500,36800,1251471,-0.0822942643391521
36600,37500,35950,36150,596457,-0.017663043478260865
36400,36600,34550,34800,717722,-0.03734439834024894
34850,35450,33650,34200,606053,-0.017241379310344862
34300,35250,33750,34450,436686,0.007309941520467822
34750,35150,32800,33050,490799,-0.04063860667634256
32600,34300,32450,33900,273303,0.02571860816944027
33800,35950,33600,35900,480189,0.05899705014749257
36050,37250,35350,36800,499091,0.025069637883008422
36800,37750,36450,37400,372450,0.016304347826086918
