Open,High,Low,Close,Volume,Adj Close
161.10000610351562,161.66000366210938,159.61000061035156,161.52999877929688,6569800,157.82936096191406
161.6300048828125,163.27999877929688,160.60000610351562,161.6300048828125,6357000,157.9270782470703
161.82000732421875,162.6199951171875,161.1999969482422,161.8699951171875,4945100,158.1615753173828
162.07000732421875,162.1999969482422,160.77999877929688,161.14999389648438,4946000,157.45806884765625
161.83999633789062,162.47000122070312,161.69000244140625,162.38999938964844,4496500,158.66966247558594
161.57000732421875,162.25,160.17999267578125,160.52000427246094,6923200,156.84251403808594
160.25,161.3000030517578,159.8699951171875,160.42999267578125,5072100,156.7545623779297
160.0,161.3699951171875,159.69000244140625,161.2100067138672,5368500,157.51670837402344
161.14999389648438,161.9199981689453,160.27999877929688,161.67999267578125,7055800,157.9759063720703
162.0,163.5800018310547,161.33999633789062,162.47000122070312,6824200,158.74781799316406
159.66000366210938,160.50999450683594,156.91000366210938,159.80999755859375,9149800,156.14877319335938
159.75,160.60000610351562,158.16000366210938,158.9600067138672,7247900,155.31825256347656
159.0,159.6199951171875,158.47000122070312,159.55999755859375,5478900,155.9044952392578
160.42999267578125,160.74000549316406,159.36000061035156,159.5,5591900,155.8458709716797
159.00999450683594,160.07000732421875,158.9600067138672,159.36000061035156,6483200,155.70907592773438
159.35000610351562,159.75999450683594,158.1300048828125,158.77000427246094,7200500,155.13259887695312
160.39999389648438,160.6199951171875,158.6699981689453,158.89999389648438,8256800,155.2595977783203
158.16000366210938,158.49000549316406,157.0500030517578,158.36000061035156,8012000,154.73199462890625
157.97000122070312,158.30999755859375,155.94000244140625,156.61000061035156,8295500,153.02207946777344
156.61000061035156,156.88999938964844,155.33999633789062,155.8000030517578,9121600,152.2306365966797
155.8300018310547,158.72999572753906,155.60000610351562,158.05999755859375,9229900,154.43885803222656
157.8000030517578,159.3699951171875,157.69000244140625,157.97999572753906,8690300,154.36070251464844
157.33999633789062,157.33999633789062,155.30999755859375,156.39999389648438,9755000,152.81687927246094
156.27000427246094,157.1999969482422,155.6699981689453,156.75999450683594,6529200,153.16864013671875
156.5800018310547,158.41000366210938,156.35000610351562,157.85000610351562,6701500,154.2336883544922
157.63999938964844,158.4499969482422,155.75,156.47000122070312,8621000,152.88528442382812
156.35000610351562,156.4600067138672,154.83999633789062,155.74000549316406,9098800,152.17202758789062
155.97999572753906,158.47999572753906,155.88999938964844,157.9199981689453,7462500,154.3020782470703
156.60000610351562,157.25999450683594,155.6699981689453,156.5500030517578,8540700,154.12484741210938
156.55999755859375,158.61000061035156,156.44000244140625,157.86000061035156,9501700,155.41456604003906
158.02000427246094,158.69000244140625,157.1300048828125,158.67999267578125,7473300,156.22186279296875
158.97999572753906,160.74000549316406,157.77000427246094,160.4499969482422,8065000,157.9644317626953
160.8800048828125,162.25,160.16000366210938,161.83999633789062,6726000,159.33290100097656
161.8000030517578,162.00999450683594,160.57000732421875,160.7899932861328,5465400,158.29916381835938
160.33999633789062,161.0399932861328,159.63999938964844,160.97999572753906,5078600,158.48622131347656
161.0,161.61000061035156,160.2899932861328,161.5500030517578,6071100,159.0474090576172
162.0,162.19000244140625,160.94000244140625,161.3800048828125,9849100,158.88003540039062
161.8300018310547,162.57000732421875,161.08999633789062,162.1199951171875,5668000,159.6085662841797
161.32000732421875,161.61000061035156,158.27000427246094,159.83999633789062,8532900,157.3638916015625
160.6199951171875,161.24000549316406,159.1999969482422,159.97000122070312,8298200,157.49188232421875
159.4600067138672,160.92999267578125,159.22000122070312,159.33999633789062,5773700,156.8716278076172
160.0,160.36000061035156,158.24000549316406,158.8699951171875,5188700,156.40890502929688
158.8699951171875,160.38999938964844,158.42999267578125,159.52000427246094,5283200,157.04884338378906
159.49000549316406,161.32000732421875,158.8800048828125,161.22999572753906,4620800,158.73236083984375
161.5800018310547,163.11000061035156,161.1300048828125,162.74000549316406,8018700,160.21897888183594
162.52999877929688,162.67999267578125,159.80999755859375,161.10000610351562,6260000,158.6043701171875
160.94000244140625,161.5399932861328,158.69000244140625,159.2100067138672,6988300,156.74365234375
158.05999755859375,159.19000244140625,157.10000610351562,158.17999267578125,13165500,155.72959899902344
158.57000732421875,158.69000244140625,156.5,156.75999450683594,6602300,154.33160400390625
156.6699981689453,156.86000061035156,155.66000366210938,156.2100067138672,7840600,153.79013061523438
155.6999969482422,156.44000244140625,155.2100067138672,155.75999450683594,5982300,153.3470916748047
155.58999633789062,156.9499969482422,155.10000610351562,155.75,5915800,153.33724975585938
155.69000244140625,156.36000061035156,155.11000061035156,155.22999572753906,7245400,152.82530212402344
155.39999389648438,155.97999572753906,154.89999389648438,155.22000122070312,7498100,152.81546020507812
155.61000061035156,156.22999572753906,154.75999450683594,155.77000427246094,6864100,153.35694885253906
155.99000549316406,158.22000122070312,155.44000244140625,157.9600067138672,8461600,155.5130157470703
158.1999969482422,159.13999938964844,158.11000061035156,158.19000244140625,6181500,155.7394561767578
157.72000122070312,158.14999389648438,156.77000427246094,157.77999877929688,4364700,155.33580017089844
156.57000732421875,157.8300018310547,155.9499969482422,157.72999572753906,6102300,155.2865753173828
157.7899932861328,158.0500030517578,154.25,154.25999450683594,8098200,151.87033081054688
155.30999755859375,155.5,152.41000366210938,152.5,6947400,150.13760375976562
152.02999877929688,153.00999450683594,151.61000061035156,152.38999938964844,6778100,150.029296875
151.99000549316406,153.0399932861328,151.55999755859375,151.58999633789062,5935400,149.24168395996094
151.5500030517578,152.52999877929688,150.94000244140625,152.2899932861328,6135600,149.93084716796875
