Open,High,Low,Close,Volume,Change
227000,228000,226500,227000,2525,0.0
227000,228000,226000,227000,2012,0.0
226500,227500,226000,227500,2749,0.0022026431718060735
228000,228000,227000,228000,1170,0.00219780219780219
228000,231000,227500,230500,2910,0.010964912280701844
229500,234000,229500,234000,4983,0.015184381778741818
234000,235000,232500,233000,2029,-0.004273504273504258
233000,233000,231500,232000,854,-0.0042918454935622075
232500,234500,231000,233500,1358,0.006465517241379226
234500,234500,232500,233500,1673,0.0
233000,234500,232500,233000,1249,-0.0021413276231263545
234500,234500,232500,233000,1819,0.0
234500,236500,233500,236000,2291,0.012875536480686733
236000,241000,234000,241000,6347,0.021186440677966045
243000,243000,239000,240000,7144,-0.004149377593360981
240000,241500,236500,238000,3723,-0.008333333333333304
236000,240000,235500,237000,1868,-0.004201680672268893
237000,240000,236500,237500,1607,0.0021097046413502962
238000,242000,237500,240500,4218,0.012631578947368327
241000,244000,240000,244000,5938,0.01455301455301461
244000,252500,242000,252500,13537,0.0348360655737705
252000,252500,248000,249500,3554,-0.011881188118811892
249500,251000,246500,248000,2150,-0.006012024048096198
248000,250000,246500,248000,2405,0.0
249500,250000,245500,245500,3014,-0.01008064516129037
245500,247500,245000,247000,1413,0.006109979633401208
245500,249000,245500,247000,1456,0.0
247000,250000,245500,248500,1689,0.006072874493927127
248500,249500,247000,248500,1632,0.0
250000,250000,247000,248500,1868,0.0
249000,249500,246000,247500,2008,-0.004024144869215318
247000,248500,246500,248000,1170,0.002020202020202033
249000,249500,247000,248500,1684,0.002016129032258007
249500,252000,249000,251500,4435,0.012072434607645954
252500,253500,250000,252000,1536,0.001988071570576455
250500,254000,250500,254000,2434,0.007936507936507908
254500,254500,252000,253000,2520,-0.003937007874015741
254000,254000,251000,253000,1941,0.0
254000,255000,252000,254000,2066,0.0039525691699604515
254500,257000,254000,255500,4152,0.0059055118110236116
256000,256500,253000,256500,2162,0.00391389432485334
256500,256500,252500,255000,2419,-0.005847953216374324
255000,256000,252000,253500,2404,-0.00588235294117645
253500,256000,253000,255000,1897,0.00591715976331364
258000,263000,256000,262500,5959,0.02941176470588225
262500,266000,261000,264500,4568,0.007619047619047636
267000,267500,261000,262000,4805,-0.009451795841209809
262000,265000,261500,263000,2264,0.003816793893129722
263500,270000,263500,267500,5676,0.017110266159695797
267000,267500,260500,261500,5159,-0.02242990654205612
261500,265000,260000,263500,2164,0.007648183556405286
263500,265000,260000,264500,3123,0.00379506641366234
264500,273000,263500,269500,7877,0.018903591682419618
269500,271500,264500,269500,4584,0.0
271000,271000,267500,270000,2739,0.0018552875695732052
272000,272000,264500,267500,5535,-0.0092592592592593
267500,269500,264500,269000,3047,0.005607476635514086
270000,270000,266500,266500,1555,-0.009293680297397744
269000,270000,265500,269500,2999,0.011257035647279645
269000,271000,267500,270500,1974,0.0037105751391466324
