Open,High,Low,Close,Volume,Adj Close
455.0899963378906,458.739990234375,451.6700134277344,458.69000244140625,486400,453.6919860839844
454.67999267578125,457.4700012207031,449.8900146484375,457.4599914550781,525300,452.47540283203125
458.1700134277344,461.1000061035156,456.0,460.7799987792969,456200,455.75921630859375
462.3699951171875,464.0299987792969,455.92999267578125,462.6400146484375,449100,457.5989685058594
465.0,465.8299865722656,458.3900146484375,460.32000732421875,327400,455.3042297363281
457.7699890136719,461.0799865722656,454.0,460.75,594400,455.7295227050781
455.1400146484375,458.739990234375,453.19000244140625,456.04998779296875,635000,451.08074951171875
458.0899963378906,466.2699890136719,458.0899963378906,465.70001220703125,443400,460.6256103515625
467.3999938964844,471.55999755859375,464.7900085449219,470.3699951171875,650200,465.2447509765625
472.19000244140625,477.3699951171875,472.17999267578125,473.5199890136719,384200,468.3603820800781
475.45001220703125,475.45001220703125,467.5799865722656,469.1000061035156,469900,463.9885559082031
471.95001220703125,471.95001220703125,464.4599914550781,464.8800048828125,557200,459.8145751953125
471.6499938964844,473.7699890136719,466.30999755859375,471.79998779296875,692600,466.6591491699219
473.1600036621094,474.0899963378906,469.8900146484375,471.5899963378906,444800,466.4514465332031
470.7900085449219,476.5899963378906,469.260009765625,476.5,615800,471.30792236328125
474.8299865722656,479.1400146484375,474.55999755859375,477.8599853515625,806600,472.6531066894531
473.8599853515625,474.42999267578125,463.1600036621094,464.5,1686100,459.4386901855469
492.20001220703125,500.6600036621094,482.6000061035156,500.17999267578125,1632700,494.7298889160156
499.5899963378906,514.8499755859375,488.45001220703125,510.3599853515625,1165200,504.7989807128906
506.4100036621094,512.0999755859375,506.4100036621094,508.8699951171875,794100,503.3251953125
509.69000244140625,511.5799865722656,505.0299987792969,511.54998779296875,649100,505.9759826660156
515.25,517.510009765625,511.6300048828125,514.219970703125,529600,508.6169128417969
512.8200073242188,515.5900268554688,509.0199890136719,515.510009765625,478900,511.3646240234375
516.239990234375,521.5,513.989990234375,521.3800048828125,565300,517.1874389648438
519.0499877929688,521.3699951171875,516.7899780273438,518.2000122070312,575500,514.0330200195312
510.0,513.27001953125,505.6700134277344,511.6300048828125,801200,507.515869140625
519.760009765625,525.3599853515625,518.27001953125,521.9099731445312,688500,517.713134765625
523.7100219726562,527.0599975585938,520.1400146484375,521.8699951171875,644900,517.6735229492188
524.030029296875,527.4299926757812,520.0,520.0599975585938,703100,515.8780517578125
516.3300170898438,521.0599975585938,513.0499877929688,519.530029296875,685800,515.3523559570312
522.1900024414062,524.0599975585938,518.4000244140625,523.7100219726562,473400,519.4987182617188
531.9500122070312,535.5499877929688,528.280029296875,530.0,602400,525.7380981445312
532.9000244140625,534.0999755859375,526.6400146484375,531.0700073242188,547900,526.799560546875
530.469970703125,532.9500122070312,528.0,530.8099975585938,483100,526.5416259765625
532.9000244140625,533.2999877929688,527.0499877929688,531.489990234375,389200,527.2161254882812
531.1199951171875,536.5700073242188,530.0,531.0999755859375,433600,526.8292846679688
531.8900146484375,536.5,527.239990234375,535.4500122070312,851800,531.144287109375
535.4600219726562,539.0599975585938,534.469970703125,537.7999877929688,513600,533.4754028320312
537.739990234375,543.9199829101562,535.1400146484375,535.510009765625,399100,531.2037963867188
532.9000244140625,534.9199829101562,526.0399780273438,528.0,679600,523.7542114257812
531.0800170898438,533.47998046875,528.3099975585938,531.22998046875,901100,526.9581909179688
535.1599731445312,539.719970703125,533.030029296875,539.47998046875,573500,535.141845703125
539.8800048828125,543.0,532.6699829101562,537.3499755859375,522500,533.0289916992188
533.9299926757812,536.6099853515625,528.0,536.0399780273438,593200,531.7294921875
536.0399780273438,539.0999755859375,531.6900024414062,538.280029296875,510800,533.9515991210938
540.5700073242188,540.5700073242188,537.3400268554688,539.5599975585938,514400,535.2212524414062
543.9099731445312,544.989990234375,531.4400024414062,536.25,612400,531.9378662109375
532.1400146484375,538.510009765625,531.3200073242188,535.4199829101562,669900,531.114501953125
538.9400024414062,540.260009765625,535.9199829101562,536.260009765625,495400,531.9478149414062
535.8099975585938,540.27001953125,535.0800170898438,538.8400268554688,545000,534.507080078125
538.760009765625,547.5399780273438,537.72998046875,546.4600219726562,402600,542.0657958984375
550.1699829101562,561.1300048828125,548.6500244140625,560.6400146484375,620000,556.1317749023438
558.3699951171875,561.0,553.4400024414062,554.8900146484375,394300,550.427978515625
553.77001953125,556.260009765625,549.7000122070312,550.530029296875,393300,546.10302734375
550.7999877929688,554.8800048828125,549.010009765625,549.1599731445312,425400,544.7440185546875
552.4500122070312,558.6400146484375,548.9199829101562,558.0499877929688,517500,553.5625610351562
556.3400268554688,557.3099975585938,553.1400146484375,555.7899780273438,608000,551.3207397460938
555.7899780273438,556.0,550.22998046875,551.010009765625,372700,546.5791625976562
551.489990234375,551.489990234375,545.1400146484375,547.4400024414062,625500,543.0379028320312
550.0,561.1199951171875,548.5,558.5700073242188,564500,554.078369140625
565.1199951171875,570.1500244140625,551.75,555.6500244140625,610200,551.181884765625
554.22998046875,566.97998046875,553.47998046875,566.6699829101562,484500,562.1132202148438
566.72998046875,568.780029296875,562.9600219726562,565.9299926757812,449600,561.3792114257812
568.0,568.8800048828125,547.989990234375,561.3499755859375,488100,556.8359985351562
553.3200073242188,560.6400146484375,547.9600219726562,555.3699951171875,538400,550.9041748046875
553.2000122070312,558.1500244140625,550.5800170898438,555.7899780273438,391300,551.3207397460938
550.0800170898438,554.3200073242188,546.3699951171875,550.3200073242188,462900,545.8947143554688
560.7100219726562,561.9000244140625,540.8800048828125,543.3699951171875,671300,539.0005493164062
