Open,High,Low,Close,Volume,Change
106000,106000,104000,104200,247058,-0.011385199240986688
103400,104500,101900,103000,375983,-0.01151631477927062
102500,103300,99900,100300,326698,-0.026213592233009675
100000,101500,99600,100400,292070,0.0009970089730808596
100800,101700,95800,96600,426244,-0.03784860557768921
95500,96000,89000,89000,1189769,-0.07867494824016563
87500,87800,81500,82000,1751528,-0.0786516853932584
82800,85500,82300,82900,1167706,0.01097560975609757
82100,85400,80600,82600,1344369,-0.003618817852834688
83000,85300,83000,84100,757038,0.018159806295399594
85100,85800,84000,84400,511666,0.00356718192627814
85100,85500,83600,84600,363568,0.0023696682464455776
84300,85100,83700,84200,230892,-0.004728132387706863
83700,83800,80900,82000,511600,-0.026128266033254133
82000,82700,81500,81900,414747,-0.0012195121951219523
81500,81600,76500,77100,1218272,-0.05860805860805862
77500,78000,76100,76800,599180,-0.0038910505836575737
76200,77000,75000,75300,554890,-0.01953125
75300,76300,74500,76000,340614,0.009296148738379806
77000,78400,76300,76900,473222,0.011842105263157876
77500,77900,75900,75900,277352,-0.013003901170351106
75700,76500,74700,74800,277244,-0.01449275362318836
75200,75700,74200,75400,253013,0.008021390374331583
75500,76900,75100,76100,300403,0.009283819628647105
76000,76100,72000,74500,867108,-0.021024967148488782
74000,77700,73400,77100,550854,0.03489932885906044
77600,78500,76600,76800,367823,-0.0038910505836575737
77500,78300,76000,76600,346273,-0.0026041666666666297
77100,77800,76600,77100,249714,0.006527415143603221
76400,77100,74600,76600,356436,-0.006485084306095956
77400,79400,76900,77100,653867,0.006527415143603221
77500,77600,76200,76900,301303,-0.0025940337224383825
77600,77600,76100,76300,288671,-0.007802340702210642
75300,79000,75300,77200,701999,0.011795543905635641
77400,77500,73300,74000,700131,-0.041450777202072575
73800,74800,73500,74500,458775,0.006756756756756799
74000,76600,73600,73700,3038341,-0.010738255033557076
75500,76900,72200,72200,879434,-0.020352781546811416
72600,72900,70700,70800,542148,-0.01939058171745156
70800,71300,68800,69300,592255,-0.021186440677966156
69100,69300,66300,66600,1143468,-0.038961038961038974
67000,69000,66500,67800,859695,0.018018018018018056
68300,72500,67300,71700,948346,0.05752212389380529
72400,72700,70900,72200,498885,0.0069735006973501434
72200,72300,71000,71200,349078,-0.013850415512465353
71200,71400,69800,69800,572583,-0.0196629213483146
69000,69400,67700,68600,579781,-0.017191977077363862
68700,69600,67600,68300,483702,-0.004373177842565634
68700,68800,67300,67500,490186,-0.01171303074670571
68100,68300,67100,67600,342074,0.001481481481481417
67800,68700,67500,67600,478751,0.0
67700,68300,66500,67500,466460,-0.0014792899408283544
67500,69000,67300,68500,342654,0.014814814814814836
68900,71800,67900,70800,966435,0.033576642335766405
71200,74900,71000,72500,1493506,0.024011299435028333
72500,73000,70700,71000,601858,-0.020689655172413834
71500,73000,70100,72100,497754,0.015492957746478853
73200,73200,70900,71200,408329,-0.012482662968099856
70600,71000,69500,70200,448824,-0.014044943820224698
69600,72000,69600,71300,652205,0.015669515669515688
70700,70800,68200,68300,890841,-0.04207573632538575
67900,68800,67700,68500,358525,0.002928257686676483
68400,68400,67200,67200,304674,-0.01897810218978102
67100,68000,66500,66600,281695,-0.008928571428571397
64800,66200,64500,65600,385802,-0.01501501501501501
65700,66800,64100,64900,385500,-0.010670731707317027
63900,64700,63700,64500,236151,-0.006163328197226536
63600,65000,62800,63400,432506,-0.01705426356589146
63600,63900,62600,62600,284070,-0.012618296529968487
63100,64700,62900,64500,237343,0.030351437699680517
64000,65500,63200,65100,402329,0.009302325581395321
65500,68800,65500,67500,751098,0.03686635944700467
67700,69000,66800,68200,485767,0.010370370370370363
67900,68500,67500,68100,244754,-0.0014662756598240456
