Code,Name,Return,Noise,Derivative
EA,Electronic Arts,-16.7,-17.5,-0.27
FSLR,First Solar,1.29,-5.55,-0.24
EIX,Edison International,-1.73,-5.16,-0.46
JBHT,J.B. Hunt,-2.65,-4.52,0.0
LDOS,Leidos,-7.57,-4.37,0.38
ERIE,Erie Indemnity,-0.02,-3.81,-0.04
FICO,Fair Isaac,-1.37,-3.74,-0.05
ALB,Albemarle Corporation,-0.5,-3.69,0.46
UAL,United Airlines Holdings,-4.6,-3.62,0.12
WRB,W. R. Berkley Corporation,-3.59,-3.53,0.29
APA,APA Corporation,0.64,-3.41,0.09
EXPE,Expedia Group,1.87,-3.08,0.05
PCG,PG&E Corporation,-1.22,-3.0,-0.27
WBA,Walgreens Boots Alliance,1.03,-2.99,0.62
FCX,Freeport-McMoRan,-1.51,-2.99,0.1
HAL,Halliburton,-1.79,-2.96,0.54
LVS,Las Vegas Sands,-1.25,-2.64,-0.66
MNST,Monster Beverage,-2.24,-2.57,-0.21
CRL,Charles River Laboratories,-0.81,-2.54,-1.06
CINF,Cincinnati Financial,-1.41,-2.51,0.16
GNRC,Generac,-1.5,-2.43,0.09
AAPL,Apple Inc.,-0.08,-2.38,-0.4
DVN,Devon Energy,-0.03,-2.31,0.31
OXY,Occidental Petroleum,0.28,-2.31,-0.09
TER,Teradyne,-2.2,-2.25,0.03
INTU,Intuit,-2.19,-2.16,-0.18
HSY,Hershey Company (The),-0.81,-2.14,-0.39
OKE,ONEOK,-1.33,-2.07,0.41
VTRS,Viatris,0.0,-2.06,-0.41
ATO,Atmos Energy,-1.5,-2.0,0.33
HES,Hess Corporation,-0.5,-1.92,0.33
D,Dominion Energy,0.53,-1.87,0.12
MAA,Mid-America Apartment Communities,-0.16,-1.76,-0.0
LUV,Southwest Airlines,0.22,-1.73,-0.16
EQR,Equity Residential,-0.28,-1.72,0.18
MRK,Merck & Co.,0.99,-1.72,-0.21
AWK,American Water Works,0.11,-1.71,0.22
CPT,Camden Property Trust,-0.87,-1.66,0.1
FDX,FedEx,-0.15,-1.66,0.03
ESS,Essex Property Trust,-0.81,-1.65,0.19
UDR,"UDR, Inc.",-0.44,-1.62,0.06
STZ,Constellation Brands,0.3,-1.59,-0.48
EW,Edwards Lifesciences,-0.16,-1.56,-0.4
CMS,CMS Energy,-1.11,-1.55,0.27
DTE,DTE Energy,-0.6,-1.48,0.2
AES,AES Corporation,3.59,-1.45,-0.28
ALL,Allstate,-0.32,-1.45,0.19
AJG,Arthur J. Gallagher & Co.,-1.87,-1.45,0.23
FE,FirstEnergy,-1.01,-1.38,0.13
CAG,Conagra Brands,0.12,-1.38,-0.22
AVB,AvalonBay Communities,-0.28,-1.37,0.15
STLD,Steel Dynamics,-0.42,-1.29,0.38
EOG,EOG Resources,-0.03,-1.28,0.26
TAP,Molson Coors Beverage Company,-1.53,-1.23,0.21
INVH,Invitation Homes,-0.72,-1.22,0.08
PRU,Prudential Financial,-0.39,-1.21,0.19
ES,Eversource Energy,0.79,-1.19,0.19
VRSN,Verisign,-0.23,-1.19,0.01
BG,Bunge Global,0.98,-1.17,-0.18
CVX,Chevron Corporation,-0.26,-1.16,0.28
KEY,KeyCorp,0.98,-1.13,0.42
L,Loews Corporation,-0.65,-1.04,0.35
ABBV,AbbVie,0.87,-1.02,-0.26
USB,U.S. Bancorp,-0.41,-0.93,0.15
SO,Southern Company,-0.32,-0.92,0.16
LNT,Alliant Energy,-0.68,-0.89,0.39
KVUE,Kenvue,0.0,-0.84,-0.02
ACGL,Arch Capital Group,-0.2,-0.84,0.33
FANG,Diamondback Energy,-0.54,-0.84,0.16
KO,Coca-Cola Company (The),-0.4,-0.81,0.1
ADM,Archer Daniels Midland,0.28,-0.81,-0.03
TSLA,"Tesla, Inc.",-0.66,-0.8,0.48
NUE,Nucor,-0.02,-0.79,0.25
KDP,Keurig Dr Pepper,-1.43,-0.74,0.2
PGR,Progressive Corporation,0.14,-0.67,0.16
TXT,Textron,-0.26,-0.67,0.32
DLTR,Dollar Tree,-1.15,-0.61,-0.03
COP,ConocoPhillips,0.9,-0.59,0.16
CB,Chubb Limited,-0.68,-0.58,0.26
SBAC,SBA Communications,0.15,-0.58,0.28
PAYC,Paycom,-1.12,-0.57,0.28
PSA,Public Storage,0.29,-0.55,0.09
BKR,Baker Hughes,-0.33,-0.53,0.45
ED,Consolidated Edison,-0.01,-0.53,0.34
KR,Kroger,-0.32,-0.53,-0.09
ROST,Ross Stores,-0.79,-0.48,-0.17
CPB,Campbell Soup Company,0.76,-0.48,0.08
GPN,Global Payments,-0.61,-0.47,0.09
XOM,ExxonMobil,0.57,-0.47,0.26
NEE,NextEra Energy,1.08,-0.42,0.26
AFL,Aflac,0.16,-0.42,0.28
BXP,"BXP, Inc.",-1.2,-0.37,0.46
STT,State Street Corporation,0.38,-0.33,0.32
EBAY,eBay,1.36,-0.33,-0.19
AIZ,Assurant,0.09,-0.3,0.36
MDLZ,Mondelez International,1.15,-0.29,0.08
TMUS,T-Mobile US,-0.98,-0.19,0.18
RF,Regions Financial Corporation,-0.25,-0.18,0.36
REG,Regency Centers,-0.08,-0.17,0.19
PNW,Pinnacle West,-0.69,-0.15,0.39
HIG,Hartford (The),-0.6,-0.12,0.34
CCI,Crown Castle,0.24,-0.08,0.39
CL,Colgate-Palmolive,0.41,-0.07,0.12
MO,Altria,0.79,-0.05,0.04
WM,Waste Management,-0.63,-0.04,0.17
DAY,Dayforce,0.14,-0.03,-0.06
DGX,Quest Diagnostics,0.22,-0.02,-0.09
FI,Fiserv,-1.41,-0.02,0.24
NCLH,Norwegian Cruise Line Holdings,0.61,0.0,0.28
VICI,Vici Properties,-0.54,0.01,0.26
CF,CF Industries,1.85,0.02,0.42
WEC,WEC Energy Group,-0.28,0.04,0.39
SRE,Sempra,0.01,0.07,0.53
NI,NiSource,-0.48,0.07,0.39
TTWO,Take-Two Interactive,-2.22,0.07,0.25
AON,Aon,-0.72,0.07,0.34
AOS,A. O. Smith,0.42,0.1,0.4
PPL,PPL Corporation,0.24,0.1,0.31
GPC,Genuine Parts Company,0.56,0.11,0.17
ZTS,Zoetis,0.2,0.11,0.14
INCY,Incyte,0.17,0.15,0.09
PAYX,Paychex,-0.02,0.15,0.35
KHC,Kraft Heinz,0.0,0.15,0.07
PFE,Pfizer,1.65,0.17,-0.14
XEL,Xcel Energy,-1.37,0.18,0.32
FOX,Fox Corporation (Class B),0.55,0.18,-0.05
CTRA,Coterra,0.17,0.18,0.43
BAC,Bank of America,1.31,0.2,0.22
SYY,Sysco,0.38,0.2,-0.06
WTW,Willis Towers Watson,-0.52,0.21,0.21
SWKS,Skyworks Solutions,0.57,0.22,0.17
LW,Lamb Weston,-0.59,0.22,-0.05
K,Kellanova,0.16,0.24,0.01
CNP,CenterPoint Energy,0.0,0.24,0.34
DHI,D. R. Horton,-1.15,0.25,0.48
PNC,PNC Financial Services,0.69,0.26,0.28
MTB,M&T Bank,0.71,0.26,0.33
O,Realty Income,0.32,0.27,0.35
VRSK,Verisk Analytics,-0.49,0.28,0.15
ADP,Automatic Data Processing,-0.19,0.29,0.21
FRT,Federal Realty Investment Trust,0.59,0.29,0.19
PCAR,Paccar,0.2,0.29,0.18
SJM,J.M. Smucker Company (The),0.35,0.33,-0.02
JNJ,Johnson & Johnson,0.94,0.33,0.21
HBAN,Huntington Bancshares,0.24,0.33,0.39
TFX,Teleflex,-0.01,0.34,0.19
FITB,Fifth Third Bancorp,-0.18,0.36,0.47
REGN,Regeneron Pharmaceuticals,2.15,0.37,-0.29
GD,General Dynamics,-0.1,0.38,0.24
BWA,BorgWarner,1.38,0.38,0.23
ARE,Alexandria Real Estate Equities,-0.18,0.39,0.38
RSG,Republic Services,-0.1,0.4,0.26
LEN,Lennar,-1.19,0.41,0.53
CTAS,Cintas,-0.61,0.42,0.36
BRO,Brown & Brown,0.04,0.42,0.25
TECH,Bio-Techne,-2.29,0.43,0.26
ENPH,Enphase Energy,5.41,0.44,-0.58
DOC,Healthpeak Properties,0.49,0.44,0.34
VLTO,Veralto,0.55,0.44,0.19
