Code,Name,Return,Noise,Derivative
017800,현대엘리베이,-0.59,-8.86,-0.8
068930,디지털대성,-2.68,-8.73,-0.89
031440,신세계푸드,-0.3,-8.12,1.09
065350,신성델타테크,-5.2,-7.57,0.61
139480,이마트,0.97,-7.29,0.27
067990,도이치모터스,0.34,-7.04,-0.76
016360,삼성증권,-0.23,-6.13,-0.59
010620,현대미포조선,-4.91,-5.28,-0.31
122450,KMH,1.86,-5.0,-0.36
039490,키움증권,2.58,-4.84,-0.36
030210,KTB투자증권,-1.75,-4.51,0.98
300720,한일시멘트,2.43,-4.37,-0.59
040420,정상제이엘에스,0.0,-4.34,-0.45
030000,제일기획,0.06,-4.14,-0.66
175330,JB금융지주,-0.63,-3.89,-0.22
272550,삼양패키징,-1.06,-3.81,-0.13
078020,이베스트투자증권,0.13,-3.8,-0.4
010780,아이에스동서,1.69,-3.79,-0.09
002960,한국쉘석유,0.47,-3.77,-0.19
007330,푸른저축은행,-0.47,-3.71,-0.58
001430,세아베스틸,-1.08,-3.54,-0.28
035600,KG이니시스,1.25,-3.45,-0.33
066970,엘앤에프,5.29,-3.39,-1.22
009240,한샘,0.73,-3.33,-0.35
035510,신세계 I&C,-1.22,-3.31,2.41
041510,에스엠,1.54,-3.3,-0.34
084010,대한제강,-3.43,-3.27,-0.04
068760,셀트리온제약,1.09,-3.11,-0.23
298000,효성화학,4.67,-2.97,-1.54
007310,오뚜기,-0.26,-2.9,-0.27
000080,하이트진로,0.72,-2.86,-0.49
120110,코오롱인더,2.42,-2.86,-0.39
008350,남선알미늄,0.4,-2.85,0.06
214320,이노션,-0.05,-2.83,-0.16
036570,엔씨소프트,3.85,-2.77,-0.62
004910,조광페인트,0.17,-2.74,-0.08
003540,대신증권,-1.0,-2.74,-0.05
192080,더블유게임즈,-0.38,-2.68,-0.09
002810,삼영무역,-0.86,-2.56,-0.23
183190,아세아시멘트,-0.2,-2.56,-0.25
225220,제놀루션,-3.54,-2.44,-0.03
097950,CJ제일제당,1.62,-2.39,-0.38
293490,카카오게임즈,2.09,-2.33,-0.79
009150,삼성전기,-0.08,-2.3,-0.26
054620,APS홀딩스,0.77,-2.28,-0.66
105630,한세실업,0.36,-2.25,-0.08
375500,DL이앤씨,2.12,-2.17,-0.14
294870,HDC현대산업개발,0.79,-2.16,-0.43
009540,한국조선해양,-3.46,-2.14,0.64
069960,현대백화점,2.3,-2.1,-0.27
035900,JYP Ent.,0.3,-2.06,-0.31
009410,태영건설,0.41,-2.01,-0.45
088130,동아엘텍,-0.41,-2.01,-0.68
035720,카카오,1.6,-1.99,-0.73
005850,에스엘,0.0,-1.91,-0.21
344820,KCC글라스,-0.93,-1.9,-0.11
013580,계룡건설,-0.85,-1.82,-0.14
020000,한섬,0.0,-1.8,-0.18
014830,유니드,0.42,-1.76,0.09
012510,더존비즈온,-2.23,-1.73,0.14
013120,동원개발,0.86,-1.66,-0.06
034830,한국토지신탁,0.5,-1.66,-0.18
090460,비에이치,0.76,-1.53,-0.2
006280,녹십자,-1.74,-1.51,0.21
034120,SBS,1.78,-1.5,2.25
210980,SK디앤디,2.79,-1.49,-0.32
011070,LG이노텍,1.78,-1.44,-0.23
316140,우리금융지주,-0.2,-1.42,-0.08
230360,에코마케팅,0.51,-1.4,-0.08
049720,고려신용정보,0.1,-1.39,-0.1
079430,현대리바트,2.38,-1.38,-0.32
011170,롯데케미칼,3.63,-1.38,-0.59
004170,신세계,0.62,-1.28,-0.08
019210,와이지-원,1.18,-1.26,-0.18
090350,노루페인트,0.63,-1.26,-0.12
086790,하나금융지주,0.35,-1.21,-0.1
046440,KG모빌리언스,-0.94,-1.2,-0.16
046890,서울반도체,1.83,-1.2,0.08
071050,한국금융지주,0.57,-1.18,-0.32
012700,리드코프,2.13,-1.13,-0.31
111770,영원무역,2.34,-1.12,-0.07
002020,코오롱,0.57,-1.1,-0.24
241520,DSC인베스트먼트,0.17,-1.1,-0.24
123890,한국자산신탁,0.36,-1.09,-0.24
058430,포스코강판,2.68,-1.09,-0.22
003690,코리안리,-0.62,-1.0,0.11
005960,동부건설,0.13,-0.99,-0.16
006060,화승인더,0.67,-0.93,-0.06
015760,한국전력,2.25,-0.92,-0.27
024110,기업은행,-0.21,-0.91,0.03
034220,LG디스플레이,1.43,-0.78,-0.05
003030,세아제강지주,0.51,-0.76,-0.04
139130,DGB금융지주,0.98,-0.76,-0.08
267980,매일유업,1.15,-0.63,-0.12
063160,종근당바이오,0.0,-0.61,-0.2
108670,LX하우시스,0.16,-0.61,-0.27
006400,삼성SDI,3.13,-0.57,-0.21
055550,신한지주,0.94,-0.57,-0.11
122990,와이솔,1.37,-0.55,-0.24
000270,기아,-0.89,-0.49,0.04
035890,서희건설,2.9,-0.48,-0.1
000860,강남제비스코,-0.19,-0.48,-0.12
005380,현대차,0.71,-0.47,0.08
007340,디티알오토모티브,-0.05,-0.46,-0.12
138930,BNK금융지주,-0.48,-0.45,-0.01
225190,삼양옵틱스,0.18,-0.41,-0.66
002990,금호건설,0.75,-0.4,-0.07
004960,한신공영,1.09,-0.35,-0.33
001230,동국제강,1.36,-0.35,-0.11
006800,미래에셋증권,1.37,-0.32,-0.23
192440,슈피겐코리아,1.52,-0.29,0.18
066570,LG전자,1.31,-0.26,-0.33
002380,KCC,1.1,-0.26,0.0
047040,대우건설,3.55,-0.15,-0.36
034730,SK,2.27,-0.13,-0.15
031430,신세계인터내셔날,4.04,-0.12,-0.4
000990,DB하이텍,0.46,-0.09,-0.28
001120,LX인터내셔널,3.35,-0.07,-0.35
006740,영풍제지,1.48,-0.07,-0.45
138490,코오롱플라스틱,2.84,-0.06,-0.3
161000,애경유화,9.12,-0.06,-0.56
207940,삼성바이오로직스,0.64,-0.05,-0.17
038290,마크로젠,0.43,-0.01,-0.1
001880,DL건설,0.0,0.0,0.0
119860,다나와,0.0,0.0,0.0
003410,쌍용C&E,0.0,0.0,0.0
210540,디와이파워,0.27,0.02,-0.13
033290,코웰패션,0.23,0.04,-0.0
066130,하츠,0.18,0.05,-0.47
079950,인베니아,-0.81,0.06,-0.01
298020,효성티앤씨,4.15,0.08,-0.34
306200,세아제강,0.84,0.17,-0.05
035420,NAVER,3.46,0.21,-0.5
004020,현대제철,2.4,0.25,-0.22
020150,일진머티리얼즈,5.93,0.34,-0.62
001390,KG케미칼,2.59,0.38,-0.12
037070,파세코,1.44,0.39,-0.42
060720,KH바텍,2.59,0.45,0.01
000720,현대건설,1.57,0.53,-0.09
028050,삼성엔지니어링,0.6,0.58,-0.25
194700,노바렉스,0.67,0.58,0.19
005390,신성통상,-0.92,0.58,0.26
285130,SK케미칼,2.59,0.59,-0.35
317400,자이에스앤디,2.64,0.63,-0.28
017670,SK텔레콤,1.07,0.65,-0.08
017890,한국알콜,0.48,0.65,0.12
100120,뷰웍스,1.18,0.67,-0.08
148150,세경하이테크,-0.56,0.72,-0.39
298050,효성첨단소재,5.02,0.8,-0.45
051900,LG생활건강,1.79,0.8,-0.21
272290,이녹스첨단소재,5.41,0.85,-0.3
083930,아바코,2.76,0.93,-0.36
005490,POSCO,3.6,0.94,-0.27
185750,종근당,0.56,0.95,0.16
090430,아모레퍼시픽,4.55,0.96,-0.29
131220,대한과학,0.22,0.99,0.09
099190,아이센스,2.14,0.99,-0.32
067160,아프리카TV,3.1,1.04,-0.3
016380,KG동부제철,3.07,1.11,-0.1
047810,한국항공우주,0.36,1.13,0.17
248170,샘표식품,2.83,1.14,-0.05
006360,GS건설,3.46,1.16,-0.27
143240,사람인에이치알,-1.82,1.17,0.02
001820,삼화콘덴서,2.61,1.17,-0.07
074600,원익QnC,3.74,1.18,-0.12
014820,동원시스템즈,3.79,1.21,-0.06
051910,LG화학,4.54,1.21,-0.33
051490,나라엠앤디,0.53,1.26,-0.06
123690,한국화장품,1.29,1.27,-0.06
104830,원익머트리얼즈,1.66,1.31,-0.13
100790,미래에셋벤처투자,-0.1,1.31,-0.35
131970,테스나,5.08,1.32,-0.48
011090,에넥스,-2.11,1.32,-0.14
005930,삼성전자,1.87,1.34,0.04
003670,포스코케미칼,6.09,1.41,-0.45
198440,고려시멘트,1.48,1.46,-0.14
011210,현대위아,2.08,1.49,-0.1
039200,오스코텍,0.41,1.49,-0.08
012330,현대모비스,-1.0,1.52,-0.2
151860,KG ETS,4.55,1.52,-0.24
008250,이건산업,1.94,1.61,-0.05
267270,현대건설기계,-0.33,1.61,-0.31
008490,서흥,2.25,1.62,-0.0
247540,에코프로비엠,7.11,1.64,-0.57
011780,금호석유,4.61,1.65,-0.34
036540,SFA반도체,3.08,1.67,-0.12
005950,이수화학,3.64,1.68,-0.4
002390,한독,2.25,1.68,-0.18
347740,피엔케이피부임상연구센타,1.39,1.68,-0.1
307950,현대오토에버,-2.0,1.73,-0.29
028670,팬오션,3.34,1.73,-0.11
265520,AP시스템,2.21,1.89,0.04
137400,피엔티,4.78,1.99,-0.47
089010,켐트로닉스,1.73,2.01,0.02
018470,조일알미늄,2.05,2.08,-0.1
096530,씨젠,-0.83,2.15,-0.05
161890,한국콜마,-1.23,2.16,0.15
033640,네패스,1.78,2.18,-0.23
093370,후성,5.06,2.22,-0.32
086520,에코프로,10.14,2.23,-1.08
039840,디오,1.96,2.26,-0.07
149950,아바텍,3.13,2.44,-0.08
004560,현대비앤지스틸,2.44,2.45,-0.06
383310,에코프로에이치엔,1.23,2.55,-0.89
017960,한국카본,-3.67,2.59,0.6
248070,솔루엠,0.4,2.66,-0.03
195870,해성디에스,4.97,2.66,0.33
330860,네패스아크,2.62,2.85,-0.12
267250,현대중공업지주,-1.64,2.98,0.3
137310,에스디바이오센서,1.31,3.08,-0.3
077360,덕산하이메탈,2.98,3.08,-0.09
067310,하나마이크론,5.95,3.1,-0.26
114810,아이원스,3.94,3.1,-0.14
240810,원익IPS,4.98,3.11,-0.03
194480,데브시스터즈,3.35,3.16,-0.53
025980,아난티,2.22,3.21,-0.17
263750,펄어비스,1.6,3.24,0.02
041830,인바디,-1.68,3.25,0.46
006650,대한유화,6.56,3.31,-0.16
336370,솔루스첨단소재,6.6,3.33,-0.57
166090,하나머티리얼즈,6.14,3.33,-0.05
083500,에프엔에스테크,1.85,3.34,-0.02
317330,덕산테코피아,3.31,3.35,-0.35
036200,유니셈,3.37,3.38,-0.08
138040,메리츠금융지주,1.54,3.56,0.25
095610,테스,6.77,3.57,0.03
047050,포스코인터내셔널,4.49,3.59,0.39
213420,덕산네오룩스,7.29,3.68,-0.02
352910,오비고,-0.31,3.69,0.24
086390,유니테스트,2.42,3.82,0.08
064350,현대로템,-0.19,3.86,0.28
103140,풍산,2.9,3.95,0.18
319660,피에스케이,6.42,3.96,-0.13
171090,선익시스템,-1.74,4.03,-0.14
011930,신성이엔지,3.89,4.19,-0.0
005290,동진쎄미켐,5.71,4.2,-0.08
079940,가비아,0.29,4.36,0.24
005870,휴니드,2.55,4.46,0.61
010950,S-Oil,6.57,4.47,-0.02
027830,대성창투,0.78,4.54,-0.1
014680,한솔케미칼,9.04,4.55,-0.19
096770,SK이노베이션,7.21,4.66,-0.26
112610,씨에스윈드,5.29,4.76,0.18
102120,어보브반도체,5.71,4.81,-0.18
190510,나무가,-2.45,4.84,0.28
237690,에스티팜,7.14,4.87,0.16
036930,주성엔지니어링,5.21,4.91,0.1
049950,미래컴퍼니,1.81,4.99,0.77
214150,클래시스,-0.19,5.01,0.2
005070,코스모신소재,10.71,5.01,-0.43
052400,코나아이,0.0,5.04,-0.31
000660,SK하이닉스,6.25,5.12,-0.05
042000,카페24,2.51,5.24,-0.62
099320,쎄트렉아이,0.7,5.3,0.13
006110,삼아알미늄,9.79,5.31,-0.56
220260,켐트로스,1.41,5.6,1.04
032500,케이엠더블유,-0.43,5.7,0.68
322000,현대에너지솔루션,6.62,5.93,-0.22
058470,리노공업,5.56,6.06,0.27
196170,알테오젠,6.17,6.13,0.54
078350,한양디지텍,5.06,6.46,0.26
083310,엘오티베큠,8.28,6.71,-0.1
010060,OCI,11.45,6.75,0.06
178920,PI첨단소재,7.91,6.83,-0.01
005420,코스모화학,12.74,6.88,-0.25
011790,SKC,6.65,7.11,-0.03
383220,F&F,5.69,7.33,0.13
092870,엑시콘,3.2,7.61,0.35
042700,한미반도체,7.12,8.71,0.17
013890,지누스,8.13,9.04,0.47
086280,현대글로비스,0.52,9.08,0.44
214370,케어젠,6.72,9.67,0.98
009830,한화솔루션,10.71,9.92,0.15
141080,레고켐바이오,8.55,10.31,0.87
004380,삼익THK,-0.1,13.48,0.76
