Code,Name,Return,Noise,Derivative
TSLA,"Tesla, Inc.",-6.08,-12.24,-0.24
SMCI,Supermicro,-1.41,-6.14,0.02
ON,ON Semiconductor,-2.13,-5.49,-0.08
PLTR,Palantir Technologies,-0.58,-4.82,0.27
WDAY,"Workday, Inc.",-2.4,-4.8,-0.25
WYNN,Wynn Resorts,-2.74,-4.28,-0.18
EPAM,EPAM Systems,-1.99,-4.07,-0.36
AAPL,Apple Inc.,-2.62,-3.96,0.06
HST,Host Hotels & Resorts,-1.83,-3.95,-0.03
PPG,PPG Industries,-3.37,-3.64,-0.06
DAL,Delta Air Lines,-2.36,-3.46,0.1
URI,United Rentals,-2.07,-3.43,-0.11
GM,General Motors,-3.57,-3.42,0.43
POOL,Pool Corporation,-2.37,-3.4,-0.06
BA,Boeing,-2.9,-3.37,0.08
UAL,United Airlines Holdings,-1.72,-3.36,0.29
CPRT,Copart,-1.86,-3.25,-0.08
AJG,Arthur J. Gallagher & Co.,-2.8,-3.09,0.12
NKE,"Nike, Inc.",-2.64,-3.09,-0.17
COST,Costco,-0.71,-3.05,-0.24
FAST,Fastenal,-1.11,-3.01,-0.22
ALB,Albemarle Corporation,-0.99,-3.01,-0.22
LVS,Las Vegas Sands,-2.84,-3.01,-0.07
APD,Air Products,-2.33,-2.96,-0.12
MLM,Martin Marietta Materials,-1.15,-2.89,-0.14
STLD,Steel Dynamics,-1.88,-2.86,-0.08
EW,Edwards Lifesciences,-1.95,-2.85,0.07
EMN,Eastman Chemical Company,-3.07,-2.82,-0.01
AXON,Axon Enterprise,0.37,-2.8,-0.18
MSFT,Microsoft,-0.69,-2.8,-0.2
BLDR,Builders FirstSource,-0.66,-2.77,-0.29
MAR,Marriott International,-1.61,-2.77,0.02
PANW,Palo Alto Networks,-0.67,-2.77,-0.19
F,Ford Motor Company,-2.53,-2.77,0.12
DAY,Dayforce,-1.72,-2.75,-0.16
LULU,Lululemon Athletica,-2.64,-2.75,0.16
GWW,W. W. Grainger,-1.17,-2.74,-0.2
CDW,CDW,-2.3,-2.68,0.04
ROK,Rockwell Automation,-1.71,-2.67,-0.0
SHW,Sherwin-Williams,-1.99,-2.66,-0.12
TSCO,Tractor Supply,-1.28,-2.6,0.06
KMX,CarMax,-0.66,-2.56,-0.06
PWR,Quanta Services,-0.17,-2.51,-0.08
ECL,Ecolab,-1.45,-2.51,-0.05
MHK,Mohawk Industries,-2.69,-2.51,0.02
LII,Lennox International,-0.78,-2.51,-0.15
NVR,"NVR, Inc.",-2.31,-2.49,-0.03
CTSH,Cognizant,-0.64,-2.49,-0.14
PAYC,Paycom,-1.74,-2.44,-0.12
ITW,Illinois Tool Works,-1.39,-2.42,-0.14
NDSN,Nordson Corporation,-2.04,-2.42,-0.03
NOW,ServiceNow,-0.55,-2.42,-0.03
NXPI,NXP Semiconductors,-0.79,-2.4,0.05
RCL,Royal Caribbean Group,-0.72,-2.4,-0.01
DE,Deere & Company,-1.3,-2.39,-0.05
CRM,Salesforce,-1.1,-2.38,-0.07
AVY,Avery Dennison,-2.04,-2.38,0.01
FRT,Federal Realty Investment Trust,-2.68,-2.38,0.06
APO,Apollo Global Management,0.42,-2.38,-0.05
FICO,Fair Isaac,0.25,-2.36,-0.16
MGM,MGM Resorts,-2.86,-2.34,0.17
