Code,Name,Return,Noise,Derivative
VST,Vistra Corp.,9.16,-15.71,0.09
MU,Micron Technology,-3.14,-15.22,-0.13
PWR,Quanta Services,0.53,-14.23,0.14
CEG,Constellation Energy,1.38,-13.59,0.42
SMCI,Supermicro,-3.06,-12.05,0.23
ANET,Arista Networks,6.22,-11.96,0.21
GEV,GE Vernova,7.61,-11.85,0.22
ETN,Eaton Corporation,0.36,-11.34,0.14
AVGO,Broadcom,2.59,-11.0,0.02
EA,Electronic Arts,-1.17,-10.65,-1.29
HPE,Hewlett Packard Enterprise,-6.49,-9.54,0.18
IRM,Iron Mountain,-5.01,-9.39,0.04
DLR,Digital Realty,-1.58,-8.98,-0.04
FSLR,First Solar,-2.48,-8.98,-1.02
DELL,Dell Technologies,-2.46,-8.59,0.03
KMI,Kinder Morgan,0.0,-8.21,-0.02
LMT,Lockheed Martin,-9.18,-7.78,0.17
AMAT,Applied Materials,-0.99,-7.68,0.24
WBA,Walgreens Boots Alliance,-3.97,-7.62,-0.9
LDOS,Leidos,-4.69,-7.35,-0.25
FCX,Freeport-McMoRan,-2.26,-7.32,-0.49
TPL,Texas Pacific Land Corporation,1.55,-6.96,-0.14
TER,Teradyne,1.39,-6.9,-0.55
LRCX,Lam Research,-1.48,-6.47,0.25
APH,Amphenol,1.62,-6.38,0.45
HUBB,Hubbell Incorporated,-0.28,-6.38,0.21
NVDA,Nvidia,8.93,-6.34,0.19
TT,Trane Technologies,-0.51,-6.27,0.06
PEG,Public Service Enterprise Group,-0.43,-6.15,-0.06
HAL,Halliburton,-2.2,-6.09,-0.34
JNPR,Juniper Networks,-6.08,-5.96,-0.06
TXN,Texas Instruments,-3.45,-5.86,-0.1
ALB,Albemarle Corporation,-3.24,-5.85,-0.51
GM,General Motors,-8.89,-5.83,0.33
KLAC,KLA Corporation,0.03,-5.82,0.21
INTC,Intel,-2.41,-5.8,0.6
NRG,NRG Energy,3.47,-5.8,0.29
GNRC,Generac,-3.93,-5.71,-0.22
WMB,Williams Companies,1.19,-5.6,-0.06
JCI,Johnson Controls,-1.22,-5.56,0.02
EIX,Edison International,-2.82,-5.41,-0.38
WDC,Western Digital,-2.38,-5.33,0.36
AMD,Advanced Micro Devices,-0.73,-5.3,0.11
BKR,Baker Hughes,-0.62,-4.89,-0.15
ORCL,Oracle Corporation,3.61,-4.82,0.9
EQT,EQT Corporation,2.97,-4.78,-0.09
ETR,Entergy,-1.48,-4.65,0.18
OKE,ONEOK,0.15,-4.64,-0.28
ADI,Analog Devices,-2.74,-4.57,0.13
MPWR,Monolithic Power Systems,2.79,-4.56,0.81
AES,AES Corporation,-3.76,-4.54,-0.37
DVN,Devon Energy,-1.27,-4.41,-0.55
SYF,Synchrony Financial,-4.58,-4.08,0.29
PCG,PG&E Corporation,-2.03,-3.79,-0.18
ARE,Alexandria Real Estate Equities,-4.76,-3.71,0.17
HII,Huntington Ingalls Industries,-3.56,-3.67,0.18
FANG,Diamondback Energy,-1.37,-3.61,-0.26
CTRA,Coterra,0.25,-3.53,-0.19
TRGP,Targa Resources,1.57,-3.46,0.03
CMI,Cummins,0.41,-3.45,-0.06
TSLA,"Tesla, Inc.",0.24,-3.37,-0.18
CDNS,Cadence Design Systems,3.25,-3.37,0.37
MHK,Mohawk Industries,-2.8,-3.3,-0.01
NI,NiSource,0.11,-3.02,0.02
STX,Seagate Technology,-3.1,-3.01,1.0
TECH,Bio-Techne,-2.42,-3.01,0.19
ISRG,Intuitive Surgical,0.12,-3.01,0.3
CARR,Carrier Global,-0.19,-2.97,0.02
NTAP,NetApp,-0.33,-2.97,0.34
NVR,"NVR, Inc.",-3.8,-2.95,0.03
EXPE,Expedia Group,1.57,-2.87,-0.67
LHX,L3Harris,-4.04,-2.78,0.15
EOG,EOG Resources,-1.3,-2.77,-0.28
OXY,Occidental Petroleum,-1.13,-2.66,-0.48
JBL,Jabil,1.37,-2.66,0.45
CF,CF Industries,1.67,-2.66,-0.49
MCHP,Microchip Technology,-1.66,-2.44,0.16
SYY,Sysco,-5.96,-2.35,0.06
SLB,Schlumberger,-2.87,-2.32,0.31
IDXX,Idexx Laboratories,-2.26,-2.31,0.11
TXT,Textron,-2.51,-2.26,-0.02
CSCO,Cisco,0.59,-2.25,0.18
PCAR,Paccar,-2.42,-2.23,-0.01
SWKS,Skyworks Solutions,0.25,-2.16,-0.05
DTE,DTE Energy,-2.57,-2.05,-0.06
COP,ConocoPhillips,-1.28,-2.05,-0.23
GD,General Dynamics,-2.69,-2.03,0.04
SRE,Sempra,-0.49,-1.97,0.1
IR,Ingersoll Rand,-1.08,-1.95,0.26
AOS,A. O. Smith,-2.18,-1.95,-0.0
XOM,ExxonMobil,-1.93,-1.93,-0.12
ON,ON Semiconductor,-0.13,-1.91,0.06
CE,Celanese,-3.04,-1.89,0.28
CMS,CMS Energy,-2.35,-1.86,-0.05
NOC,Northrop Grumman,-3.3,-1.8,0.42
EQIX,Equinix,0.75,-1.75,0.17
PYPL,PayPal,-2.27,-1.73,0.07
J,Jacobs Solutions,-0.06,-1.72,0.21
CRL,Charles River Laboratories,-1.33,-1.7,-0.31
POOL,Pool Corporation,-2.74,-1.65,0.32
TEL,TE Connectivity,-1.2,-1.6,0.55
ROK,Rockwell Automation,-0.7,-1.59,0.29
LVS,Las Vegas Sands,-0.51,-1.58,-0.13
APA,APA Corporation,-0.17,-1.57,-0.66
ENPH,Enphase Energy,-2.67,-1.49,-0.28
BG,Bunge Global,-1.8,-1.47,-0.26
CAT,Caterpillar Inc.,-1.19,-1.46,0.53
HSY,Hershey Company (The),-2.6,-1.41,-0.12
AME,Ametek,-1.11,-1.4,0.33
ZBRA,Zebra Technologies,1.56,-1.4,0.3
URI,United Rentals,-0.38,-1.36,0.43
DD,DuPont,-0.43,-1.35,0.14
CSX,CSX Corporation,-2.85,-1.34,0.18
LKQ,LKQ Corporation,-1.98,-1.33,0.19
LUV,Southwest Airlines,-2.24,-1.32,-0.1
BKNG,Booking Holdings,0.2,-1.31,-0.24
PHM,PulteGroup,-2.54,-1.22,0.08
TRMB,Trimble Inc.,-0.91,-1.22,0.45
HON,Honeywell,-2.22,-1.21,0.13
KEYS,Keysight Technologies,-0.43,-1.2,0.33
ALGN,Align Technology,-1.59,-1.19,0.58
C,Citigroup,-1.39,-1.18,0.45
FICO,Fair Isaac,0.46,-1.17,-0.63
GLW,Corning Inc.,3.43,-1.16,0.66
HES,Hess Corporation,-0.73,-1.15,-0.19
LNT,Alliant Energy,-1.88,-1.15,0.06
DPZ,Domino's,-0.31,-1.12,0.44
SNPS,Synopsys,3.01,-1.08,0.47
FAST,Fastenal,-1.94,-1.07,0.15
NEM,Newmont,-0.53,-1.04,0.14
DHI,D. R. Horton,-2.25,-1.03,-0.01
GPC,Genuine Parts Company,-2.36,-1.03,0.03
MSI,Motorola Solutions,-0.65,-1.01,0.2
F,Ford Motor Company,-2.89,-0.99,0.23
TDG,TransDigm Group,-1.1,-0.99,0.27
LW,Lamb Weston,-3.32,-0.98,0.28
ALLE,Allegion,-2.5,-0.94,0.14
VLO,Valero Energy,-2.25,-0.84,0.1
USB,U.S. Bancorp,-2.22,-0.84,-0.08
CNP,CenterPoint Energy,-1.73,-0.83,0.1
ADM,Archer Daniels Midland,-3.03,-0.82,-0.03
MDLZ,Mondelez International,-2.43,-0.81,0.01
PH,Parker Hannifin,0.52,-0.81,0.24
AEE,Ameren,-0.97,-0.81,0.21
PNR,Pentair,0.26,-0.78,0.18
NXPI,NXP Semiconductors,-0.77,-0.78,0.15
MET,MetLife,-1.47,-0.76,0.14
